,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
10,Khadke Glassy,Jabariya Jodi,"Yo Yo Honey Singh, Ashok Mastie, Jyotica Tangri",Tanishk Bagchi,"Tanishk Bagchi, Channi Rakhala",2019,"Thekeyan te nitt khadke ho Thekeyan te nitt khadke Khadke glassi tere naa de Yes! He’s back again From all the way Make you crunk again any another day We can spin your brain into another brain This is Masti with your boy Honey Singh Palkon pe tainu ae bithayi phirde Tattoo tere naam da karayi phirde Aaha! Palkon pe tainu ae bithayi phirde Tattoo tere naam da karayi phirde Mere pichhe lakhan udaayi phirde Photo meri wall pe lagayi phirde Mere pichhe lakhan udaayi phirde Photo meri wall pe lagayi phirde Mundet saare pichhe ghumde Mar na jayein lad-lad ke Thekeyan te nitt khadke Khadke glassi tere naa de x (2) Thekeyan te nitt khadke Khadke glassi mere naa de x (2) Saare bane phirde hain hakdaar ni Jaane kaun karda hai mainu pyar ni Saare bane phirde hain hakdaar ni Jaane kaun karda hai mainu pyar ni Seene vich dil dhadke sohniye Seene vich dil dhadke Vekh vekh tainu bas tadpe Thekeyan te nitt khadke Khadke glassi tere naa de x (2) Yes! He’s back again Make you crunk again We can spin your brain Brake it down like this Tu hai meri, main hoon tera haan keh de Dil kya hai baby meri jaan lele x (2) Mauka ik baari mainu haan dede Ya to tere jaise koyi la dede x (2) Par yeh to mumkin hi nahi sohneya Yeh to mumkin hi nahi Ki meri jaisi koyi mil jaave Thekeyan te nitt khadke Khadke glassi mere naa de x (2) Thekeyan te nitt khadke Khadke glassi tere naa de x (2) Khadke glassi.."
11,Saturday Night,Jhootha Kahin Ka,"Neeraj Shridhar, Jyotica Tangri, Enbee","Amjad Nadeem, Aamir","Amjad Nadeem, Enbee",2019,"Volume badha de baby dance karna hai Volume badha de baby dance karna hai Saamne tu aaja romance karna hai Party ke liye main jagah nahi dhoondta Saturday night! Saturday night main apne aap ki nai sunta Saturday night main apne aap ki nai sunta Aap ki kya kisi ke baap ki nai sunta x (2) Battiyan bujha dein chalo ho jaayein shuru Ho jaayein shuru, ho jaayein shuru Ho battiyan bujha dein chalo ho jaayein shuru Aaja chipak jaayein banke glue Chal bomb tu gira de Saare ang tu hila de Teri aakhon ka main pyasa Aaja pyaas bujha de Teri hi wajah se dil Romeo sa jhoomta Saturday night, Saturday night! Saturday night main apne aap ki nai sunta Saturday night main apne aap ki nai sunta Aap ki kya kisi ke baap ki nai sunta x (2) Monday ko hi set kar leti Saturday ka plan Mummy daddy ki na sunti Party karne ki hai fan Jis bhi club mein enter kar deti Laga deti hai jam Laal dress mein kaun hai yeh ladki Itni hottie oh damn Chal hat! Hain famous iske jalve Isko lena na tum halke Jhalke jhalak jhalak jhal jhalke Dekho beat pe kaise chhalke Baby padh leti jo man mein Kehti sabko hoon jogan main Main kehta kar le jo man mein Kyon ki beat chale meri gun pe Saturday night main apne aap ki nai sunta Aap ki kya kisi ke baap ki nai sunta x (2)"
12,Fancy Thumke,Family Of Thakurganj,"Mika Singh, Dev Negi, Jyotica Tangri, Parry G",Sajid-Wajid,Danish Sabri,2019,Aasmaan se barse rang Chal aa holi khelein sang x (2) Pichkaari hathon mein le kar Kar do sabki shanti bhang Dhoodh-voodh mein bhaang Mila ke Baith ja bhole nain mila ke x (2) Sharam-varam ki baat chhod ke Naach le baby mere sang Jab tu maare fancy thumke Jab tu maare fancy thumke Dil pe gire bijuriya re Jab rang lagaye Ho jab rang lagaye sawariya re Badi rangeen laage kamariya x (3) Tere hothon ki smile Kar degi mujhko ghayal Baby yeh tera style Ho dil mein preet ke beat bajaaye Jaanu main tera drama Tera yeh saregama Ungli pakadne di thi Tu to sar pe hi aan pada hai Haye baahon pe thumhare Aake simat jayenge Happy Holi keh ke gale lipat jayenge Bheeg ke paani mein aise laage Bheeg ke paani mein aise laage Jaise jal mein chale machhuriya re Jab rang lagaye sawariya re Badi rangeen laage kamariya x (2) Taiyaar ho kya? Aaya main aaya Aur aate hi main chhaya Aate hi hilaya Maine maahaul banaya Kar na tu koyi fikar Kar masti tu nidar Kaahe ko tu door bhaage Aaja mere paas idhar Dhamaka karenge hum Holi ke is tyohar mein Aa jao saare sath mein Hum mil ke jhande gaad dein Aa jao saare sath mein HUm doob jaayein gulaal mein Dekhoge pichkaari Rang denge kurti saari Colour na utrega Chaahe dhobi se wash karana Dekho na aisa karna Mehnga padega warna haan Muthi mein rang le kar Mere gaalon pe rang lagana Haye cute cute face tera Akhiyon pe kajal Kar hi daalega Oh re baby humko paagal Mukh pe ghunghta daal ke rakh Kahin lag na jaaye najariya re Jab rang lagaye sawariya re Badi rangeen laage kamariya x (3)
13,Crazy Habibi Vs Decent Munda,Arjun Patiala,"Guru Randhawa, Benny Dayal",Sachin-Jigar,"Guru Randhawa, Benny Dayal",2019,"Habibi, habibi, habibi Saari saari raat kardi aan party aa Raat kardi aan party Saari saari raat kardi aan party aa Saari saari raat kardi aan party aa Lagdi aan kudiyan ve hottie Naughty saari raat kardi aa party aa Lagdi aan kudiyan ve hottie Nale nale mundeyan de tod’di aan dil Decent mundeyan de tod’di aan dil Baby girl lakhan ch banaundi baby bill Baby girl lakhan ch banaundi baby bill Haan baby meri janiya janiya Jaan kad ke gayi Haan baby meri crazy aa, desi aa Mainu lutt ke gayi x (2) [Arabic vocals by Benny Dayal] Sone jaise baal baby ke Lohe jaisa baby ka hai dil Desi jaise dal makhni Beauty goreyan nu kardi aa kill x (2) Haan baby meri janiya Haan baby meri baby aa Decent mundeyan de tod’di aan dil Baby girl lakhan ch banaundi baby bill Haan baby meri janiya janiya Jaan kad ke gayi Haan baby meri crazy aa, desi aa Mainu lutt ke gayi Haan baby meri janiya Haan baby meri baby aa"
14,Basanti No Dance,Super 30,"Prem Areni, Janardan Dhatrak, Divya Kumar, Chaitally Parmar",Ajay Atul,Amitabh Bhattacharya,2019,"No no no.. Basanti no dance no no no In front of these dogs no no no x (2) Hey Holi hai bhai holi hai Sabki holi holi hai Teri holi, meri holi Sabki holi happy hai Hey Rnglish kidhar hai English! Holi English Happy bhi English yaar Me kahenga English mein taako Taake nahi sasura Dil Bihari speaking bhaasha Jaane naahi doosra He told me, you told him I told you no tell her I told her no tell you So tell me to tell you She told him to tell her Ye le teri English! Ye gazab duniya ka funda Fikar me not chinta Ghalat English bhale hi We will gaadenge jhanda They throwing inta We throwing rocks They phenking inta You throwing rocks Basanti no dance In front of these dogs no no no x (4) No no no"
15,Nasha Mainu Chadh Gaya,One Day,"Nimisha, Rishi Singh",Rishi Singh,Alaukik Rahi,2019,"Mood bada fancy hai Grrove bada dancy hai Nikki nikki chadh gayi mainu Color tera chadh gaya ve Raat mein sardi hai Dil ne hadd kar di hai Nikki nikki chadh gayi mainu Rang tera chadh gaya ve Chadh gaya nasha mainu ishq da Kyun? Chadh gaya, chadh gaya Chadh gaya nasha mainu ishq da Kyun? Chadh gaya, chadh gaya Ve chadh gaya nasha mainu ishq da Nasha mainu chadh gaya Lakk nu hila ke, move it Nikki nikki laake, move it Dil nu chura ke, move it Sohniye ni aaja mere kol Aaja mere kol Tere lakk de hulareyan ne Maar ditta saanu Tere hottie naughty style’an ne Maar ditta saanu Aaja mere kol, mere kol, mere kol Saansein chaldi jaavein Dhadkanein badhdi jaavein Aake ab thaam le mainu Maahiya ve Baatein yeh zaahir meri Tere hi khaatir meri Raatein hain jannat jaisi Jaaniya ve Eyes blush karti Tujhse jab ladti hai Haan nikki nikki chadh gayi mainu Rang tera chadh gaya ve Chadh gaya nasha mainu ishq da Kyun? Chadh gaya, chadh gaya Chadh gaya nasha mainu ishq da Kyun? Chadh gaya, chadh gaya Ve chadh gaya nasha mainu ishq da Nasha mainu chadh gaya"
16,Koka,Khandaani Shafakhana,"Badshah, Dhvani Bhanushali, Jasbir Jassi",Tanishk Bagchi,"Tanishk Bagchi, Mellow D, Badshah",2019,"Koka koka, koka koka, koka koka Aur sun’na hai to subscribe karo T-Series Ho dil waali gall kar lai Ho aaja mera hath fad lai Ho aaja mere naal nach lai Kisne tujhko roka Ho kanni diamond jhumke Ho Sona jaise tere thumke Ho gall meri jaayi sunn ke Tujhe rab ne banaya anokha Na tadpa, baby karde tu haan Mera kar de jeena saukha Koka koka, ko ko ko ko Koka, tera kujh kujh kehnda ni Koka, tera kujh kujh kehnda ni Lehanga tera lutt putt lehnga ni Koka Koka, mera kujh kujh kehna ni Koka, mera kujh kujh kehna ni Koka, mera kujh kujh kehna ni koka Haaye ni tera koka koka koka koka koka Floor pe chakkar kaate jaise lattu Baby tu hai totta tere aaju baaju tattu Hilti hai jaise bani ho rubber ki Aaj na rukne wali hai yeh ladki Kyonki! Kaan mein aa ikk baat bataun Dikhta bhi badhiya hoon, achcha kamaoon Tu bole to mommy se kehke Tere mere rishte ki baat chalaoon Hansdi hasandi meri sakhiyan Baaki baatein kare teri akhiyaan Lagta hai tu hai koi cheater Karta hai gall saari jhuthiyan Dil kya hai baby main to jaan vaar doon Nau-lakha tere utte haar vaar doon Loyal rahoonga, tere nakhre sahoonga Ik vaari sanu dede mauka Koka koka, ko ko ko ko Koka, tera kujh kujh kehnda ni Koka, tera kujh kujh kehnda ni Lehanga tera lutt putt lehnga ni Koka Koka, mera kujh kujh kehna ni Koka, mera kujh kujh kehna ni Koka, mera kujh kujh kehna ni koka Haaye ni tera koka koka koka koka koka"
17,Tooh Hila Lo,One Day,"Divya Kumar, Farhad, Tia Bajpai",Joy-Anjan,Alaukik Rahi,2019,"Oye saj gaye dekho gully mohalle Jhalar walar saj gaye Saj gaya dulha, saje baraati Dhol nagaade baj gaye Dulhan desi pehan videsi Naachan wali dress mein Dulhe ne smile maari Ghar wale rajh gaye Dulhan ko hai mila jo dekho Cash jewellery car Ho baby ji ki khul gayi lottery Tooh hila lo Ho baby shaadi kar rahi bawali Tooh hila lo Ho dekho kist badi yeh chhaap rahi Tooh hila lo Ho baby kuchh zyada hi maang rahi Tooh hila lo Tere mausa ka attitude by god Jaise koyi afsar hai Mere ghar mein to inke jaise Ji ghoomte 72 hain Tere fufa ji nachein Jitendra ke jaise Par takle hain Tere jijaji ekdum Govinda Magar thoda hakle hain Haaye re bitiya bechari Kaise adjust karegi Saasu ka chehra aisa Ke jaise blast karegi Sasuri ki muchhein dekho Katte ke nok jaisi Poore ghar mein hai chalti Bas inki gundagardi Haan magar tera banna hai awesome Yeh face dekho light maare Bank balance lakhon ka iska Yeh jaane kya karta hai Oye Sonu, oye Monu Oye Rinki, oye Pinki Aaj thumak lo jee bhar ke Baby ki shaadi hai Arre desi pila do neat Desi baja do Aise mahaul mein aadhi bhi Full chadh jaati hai Kaisi jodi hai, badi hi cute hai Dulha dholak hai to baby fruit hai Zara si naughty hai, zara si rude hai Baby laadli ho very good hai Ho baby ji ki khul gayi lottery Tooh hila lo Ho baby shaadi kar rahi bawali Tooh hila lo Ho dekho kist badi yeh chhaap rahi Tooh hila lo Ho baby kuchh zyada hi maang rahi Tooh hila lo Hoye hoye hoye hoye tooh hila lo x (3)"
18,Main Deewana Tera,-,Guru Randhawa,Sachin-Jigar,Guru Randhawa,2019,Gore gore mukhde pe kala kala til Teriyan adawan mera lutt leya dil Dil hai mera badi mushkil mein Aake baby mainu kalli kitte mil x (2) Oh meri preeto sunn jeeto Oh meri preeto sunn jeeto Yeh haal jo hai mera haal Aisa hai kyun? Kyun? Kyunki main deewana tera Main deewana tera Main deewana tera o o o Aashiq purana tera Main deewana tera main x (2) Jaane jaana meri jaan-e-man Body teri lage like a diamond One in a million baby girl Dekhu tujhe to mera nikle hai dum x (2) Oh meri preeto sunn jeeto Oh meri preeto sunn jeeto Yeh haal jo hai mera haal Aisa hai kyun? Kyun? Kyunki main deewana tera Main deewana tera Main deewana tera o o o Aashiq purana tera Main deewana tera main x (2)
19,Manmohini,Hume Tumse Pyaar Kitna,"Mika Singh, Kanika Kapoor, Ikka","Raaj Aashoo, DJ Emenes (MIB), Vicky, Hardik",Shabbir Ahmed,2019,"Ho beat vajjdi te lakk hilda Ho je tu nachdi te main vi nachda Ho DJ waleya baja de Mika Singh Ho billi akh ton na koyi bachda Ho ajj nachne di raat Kal pe chhod kal ki baat Dil mera jaane kab tera ho liya Manmohiniye ni man moh liya x (4) Manmohini ni man moh liya Tujhe dekha tera tera ho liya Tere husan ke paani mein baby Maine apna munh dho liya aah! Aise tu naache jaise Baag mein naache morni Nazar pehli mein dil le gayi Tu dilon ki chorni Kya tera iraada hai Itna nakhra kyun zyada hai Dekhi maine lakh par dekhi na Tere wargi hor ni Jab beat hai baaje Ladki naache hath utha, kamar hila ke Tujhe pata loon, apni bana loon Romantic gaana gaa ke Ho pyar di flight baby Dil pe mere land kar Dance wali beat pe Kamar thodi band kar x (2) Bawle ja koyi aur girl find kar Bawle ja koyi aur girl find kar Ho ajj nachne di raat Kal pe chhod kal ki baat Dil mera jaane kab tera ho liya Manmohiniye ni man moh liya x (4)"
