,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
109,Muddaton,Mumbai City,Amit Mishra,Shaan Asif Raj,Azeem Shirazi, ,Tujhse bichhad ke bhi main Kahin tujhmein reh gaya x (2) Phir tanha yun hua Ke main khud se bichhad gaya x (2) Muddaton roya karenge tere bin Bas tujhe socha karenge raat din x (2) Tu nahi to zindagi bhi Ajnabi si ho gayi Gham ki chaadar odh kar Har khushi bhi so gayi Ab to bas tanhaiyan Tanhaiyan reh gayi Mere andar aur baahar Ek kami si ho gayi Muddaton roya karenge tere bin Bas tujhe socha karenge raat din x (2) Rooh ki gehraiyon mein Dard ka sailab hai Ishq ka betaab dil Tukde tukde khwaab hain Ab to hain bechainiyan Bechainiyan har kahin Mujhe lagta hai aisa Ab mera koyi nahi Muddaton roya karenge tere bin Bas tujhe socha karenge raat din x (2)
110,Jaan Nisaar,Kedarnath,"Arijit Singh, Asees Kaur",Amit Trivedi,Amitabh Bhattacharya, ,"Na maaregi deewangi meri Na maaregi awargi meri Ke maaregi zyada mujhe maut se Narazgi teri Kyun itna hua hai tu khafa Hai zid kis baat ki teri Ke maaregi zyada mujhe maut se Narazgi teri Jaan nisaar hai, jaan nisaar Tere pyar pe mere yaar Jaan nisaar hai Duniya zamaane se Rishte mitaye hain Tujhse hi yaari hai hamari Ik baar to aa Maine nibhaya hai Karke dikhaya hai Le teri baari Ik vaari tu bhi pyar nibha Tu bhi pyar nibha oh yaara Teri berukhi se hai badi Umar intezar ki meri Ki maaregi zyada mujhe maut se Naraazagi teri Kyun itna huaa hai tu khafa Hai zidd kis baat ki teri Ke maaregi zyada mujhe maut se Narazgi teri Jaan nisaar hai, jaan nisaar Tere pyar pe mere yaar Jaan nisaar hai"
111,Tu Hi Re,2.0,"Armaan Malik, Shashaa Tirupati",A.R. Rahman,Abbas Tyrewala, ,"Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Chhu loon tere siliconic gaal kabhi Firewall jaise rokein baal kabhi Wifi se duniya ki sair karein Hoon super conductor main Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2) Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Woh sensor hai jis se jaage ehsaas Woh cable jo ho energy pass Hai disc tu aur hai drive bhi tu Woh software jis se bujhe meri pyaas Tere RAM se CPU dhadke Aa login kar le, tera password de Electromagnetic rishte mein Yeh love shuv kahan se aa gaya Aisa tu aisa shuruwat meri Mega oh mega tu hi aakhiri Love you from zero to infinity Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2) Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Chhu loon tere siliconic gaal kabhi Firewall jaise rokein baal kabhi Wifi se duniya ki sair karein Hoon super conductor main Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2)"
112,Mere Naam Tu,Zero,Abhay Jodhpurkar,Ajay-Atul,Irshad Kamil, ,"Woh rang bhi kya rang hai Jo milta na tere honth ke rang se hu-ba-hu Woh khushbu kya khushbu Thehre na jo teri sanwari zulf ke ru-ba-ru Tere aage yeh duniya hai feeki si Mere bin tu na hogi kisi ki bhi Ab yeh zahir sareaam hai, elaan hai Jab tak jahan mein subah shaam hai Tab tak mere naam tu Jab tak jahan mein mera naam hai Tab tak mere naam tu x (2) Uljhan bhi hoon teri Uljhan ka hal bhi hoon main Thoda sa ziddi hoon Thoda paagal bhi hoon main Barkha bijli baadal jhoote Jhooti phoolon ki saughatein Sachchi tu hai sachcha main hoon Sachchi apne dil ki baatein Dastkhat hathon se hathon pe kar de tu Na kar aakhon pe palkon ke parde tu Kya ye itna bada kaam hai, elaan hai Jab tak jahan mein subah shaam hai Tab tak mere naam tu Jab tak jahan mein mera naam hai Tab tak mere naam tu x (2) Mere hi ghere mein ghoomegi harpal tu aise Suraj ke ghere mein rehti hai dharti yeh jaise Payegi tu khud ko na mujhse juda Tu hai mera aadha sa hissa sada Tukde kar chaahe khwaabon ke tu mere Tutenge bhi tu rehne hain woh tere Tujhko bhi to yeh ilhaam hai Elaan hai"
113,Qaafirana,Kedarnath,"Arijit Singh, Nikhita Gandhi",Amit Trivedi,Amitabh Bhattacharya, ,In waadiyon mein takra chuke hain Humse musafir yoon to kayi Dil na lagaya humne kisi se Kise sune yoon to kayi Aise tum mile ho Aise tum mile ho Jaise mil rahi ho itra se hawa Qaafirana sa hai Ishq hai ya kya hai? x (2) Godi mein pahadiyon ki Ujli dopehri ghuzarna Haye haye tere sath mein Achchha lage Dhalti huyi shaam ne bataya hai Ke door manzil pe raat hai Mujhko tasalli hai yeh Ke hone talak raat Hum donon sath hain Sang chal rahe hain Sang chal rahe hain Dhoop ke kinare chaon ki tarah Qaafirana sa hai Ishq hai ya kya hai? Aise tum mile ho Aise tum mile ho Jaise mil rahi ho itra se hawa Qaafirana sa hai Ishq hai ya kya hai?
114,Sweetheart,Kedarnath,Dev Negi,Amit Trivedi,Amitabh Bhattacharya, ,Do nain sitaare Hain chaand sa mukhda Kya kehna uska afreen Daawat mein jaise ho shahi tukda Uske jaisi na koyi nazneen Shaahi joda pehan ke Aayi jo ban-than ke Wohi to meri sweetheart hai Sharmayi si bagal mein Jo baithi hai dulhan ke Wohi to meri sweetheart hai x (2) Kaise main kahun shukriya Uska mujhpe ehsaan hai Nacheezon ki basti mein woh Jo banke aayi mehmaan hai Lagta hai shaadi ghar mein Uske aane se jaise Chal ke aayi hai khushkismati Saari mehfil ki woh jaan bani hai Kya kehna uska afreen Muflis ke dil ka armaan bani hai Uske jaisi na koyi nazneen Shaahi joda pehan ke Aayi jo ban-than ke Wohi to meri sweetheart hai Sharmayi si bagal mein Jo baithi hai dulhan ke Wohi to meri sweetheart hai Wah wah ji Wah wah kya baat hai x (2)
115,Manzoor-e-Khuda,Thugs Of Hindostan,"Shreya Ghoshal, Sunidhi Chauhan, Sukhwinder Singh, Ajay Gogavale",Ajay-Atul,Amitabh Bhattacharya, ,"Ik haath mein chingariyan Ik haath mein saaz hai Hansne ki hai aadat humein Har ghamm pe bhi naaz hain Aaj apne tamaashe pe Mehfil jo karke rahenge fidaa Jab talak na karein Jism se jaan hogi nahi yeh judaa Manzoor-e-Khuda, manzoor-e-Khuda Manzoor-e-Khuda, manzoor-e-Khuda Noor-e-sitaron se roshan hua hai Noor-e-Khuda Azaadi hai gunaah To kubool hai sazaa Ab to hoga wohi Jo hai manzoor-e-Khuda"
116,Suraiyya,-,"Vishal Dadlani, Shreya Ghoshal",Ajay-Atul,Amitabh Bhattacharya, ,"Tu hai sautan name ki Pathshala prem ki Hum angutha chhaap Imtehaan legi kya x (2) Dhadkanon ki chaal pe Is keharwa taal pe Le chuki alaap Uspe taan legi kya Suraiyya jaan legi kya Suraiyya jaan legi kya Suraiyya bas kar, bas kar yaar Suraiyya jaan legi kya Suraiyya jaan, meri jaan Meri jaan legi kya Suraiyya jaan legi kya Haye ghar suraiyya jaan ke Sar jhuka ke aaye ho De chuki hai darsan Ab parsad degi kya x (2) Sabka dil behla chuki Thumriyan bhi gaa chuki Bandh ke ab sath mein Aalap degi kya Suraiyya jaan degi kya Suraiyya jaan degi kya Suraiyya bas kar, bas kar yaar Suraiyya jaan legi kya Suraiyya jaan, meri jaan Meri jaan legi kya Nahi to jaan degi kya Haye meri nazron mein sab ek hain Meri nazron mein sab ek hain Kya general kya sipahiya Sab ke dil mein khushfehmi hai Woh hi hai mera saiyan Haan do pal ki ghustakhi to Hanste hanste deti hai Mohabbat ka darza Suraiyya Arre arre arre Kal ko upar jana hai Jaake munh dikhana hai Thoda to sudhar jaa suraiyya Arre bas bhi kar suraiyya Rab se dar suraiyya Hai dil tera ya patthar suraiyya Saari jaydaad aur mehakame Likh diye inhone tere hakk mai In thagon se, in thagon se, in thagon se Ab tu Hindostan legi kya Suraiyya jaan legi haan"
117,La La La,Baazaar,"Neha Kakkar, Bilal Saeed",Bilal Saeed,Bilal Saeed, ,"Kudiye mainu saari khabar Mere peeche ki ki kardi ae tu, haan tu Yes I’m talking to you Jhoota mainu pyaar dikha ke Matlab poora kardi hai tu, haan tu Yeah! Rakh sohniye jawani nu sambhaal ke Saddi nazar ae tere har chaal te Bhavein ban lai tu tezz Vekhi auna ik phase Jadon beh ke pachhtavegi Gaane mitran di gaavengi La la la, la la la Ni tu mere piche aavegi La la la, la la la Gaane mitran di gaavengi La la la, la la la Kalli beh ke pachhtavegi La la la, la la la Mundeya ni tu paye kadar Tere layi kya kya kardi hoon main, haan main Sabse lad’di hoon main Mere piche duniya saari Par ik tere pe hi marti hoon main, haan main Yeah! Par rakhi na tu koyi khushfehmi Jadon vekhega tu main vich Grammy Phir mere naal khichi photo Apne friend’an ne tu kadd ke vekhavega Gaane mere hi tu laavega La la la, la la la Jadon gaddi tu chalavega La la la, la la la x (2)"
118,Vashmalle,-,"Sukhwinder Singh, Vishal Dadlani",Ajay-Atul,Amitabh Bhattacharya, ,"Raat paune baarah pe Daal ke sharara Baghdad se mangaai raat hai Haal se malangi hai Chaal se firangi Shaitan ki lugayi raat hai Isski adaa mein Kohinoor ka jamaal hai Shaukeen hai mizaaj se miyan kamaal hai Angoor ke nichod mein naha ke aayi hai Mauke ka fayada utha le bemisal hai Ara ra ra Hud-dang mache, shor mache halle Re ara ra ra Jab tak na dhale, raat jashan kar le Haan thirak thirak thirak thirak jhoom le Vashmalle, vashmalle Vashmalle yara vashmalle"
119,Perfect,-,"Badshah, Gurinder",Badshah,Badshah, ,"Yeah! Mr. Rai! It’s your boy! Akhiyan ch soorma tu paya kar na Baal to colour karaya kar na Load ni tainu kisi maskare di Bullan utte lippi laya kar na Ek gall tu dass de mainu Makeup kahton kardi ae Rab ne jehda husn ditta Ohnu cover kyun karke rakhdi ae Ek gall tu dass de mainu Makeup kahton kardi ae Mainu taan ohda hi Tu lage mainu perfect Baby ban gayi tu saddi girl Tu lage mainu perfect Tere wargi no party girl x (2) Perfect jaise Kohli ki timing Perfect jaise flow mera, flow mera Teri har ek cheez hai perfect Perfection mind karti hai blow mera Har outfit teri hit Teri alag hawa, tujhe nahi parwah girl Jaadu kala teri yeh jawani Na kisi se le kuchh karwa girl Kar na tu love, na kar tu ladaiyan Ladkon ki tere pichhe chhooti hai padhaiyan BP ho jaaye low jab cute sa face Bana ke leti tu angdaiyan Jo bhi tujhe chahiye le le go grab it De de mujhe dil apna let me have it Yeh to tujhko bhi hai pata Loonga tujhko pata main kyun Habit! Teri lod ni kudiye mehngi mehngi dress’an di Teri simplycity ne patlon kehar machaya hai Kyun sheeshe moore behke time gawauni ae Jad rabb ne khulla time tere laaya ae Koyi kami labhdi nai Tu jachdi ae saari ni Kal ki karaan rab ton daraan Lakk patla pata ton bhaari ni Koyi kami labhdi nai Tu jachdi ae saari ni Kal ki karaan rab ton daraan Lakk patla.. Tu lage mainu perfect Baby ban gayi tu saddi girl Tu lage mainu perfect Tere wargi no party girl x (4)"
120,Maee Re,Dassehra,"Rekha Bhardwaj, Madhushree",Vijay Verma,Rajesh Manthan, ,Arre maee maee re Arre maee maee re Maee re chhede hain logan Maee re ghoore hain logan Maee re taade hain logan Taana maare hain logan Daiyya bairi bhayi hai yeh angdayi re Bachi tera aanchal dhalke Bachi chal sambhal sambhal ke Bachi yahan majnu dil ke Pahsna nahi inse milke Warna karti phiregi maee maee re Maee re chhede hain logan Maee re ghoore hain logan Solah to gaya hai peechhe Aaya saal satrah Harihar jawani pe chadha hai Bhaari khatra Rasiya hamare rass ke Bhanwre hain saare Phans gayi main to raama Karke ishare Chhankayi kaahe toone dagar mein Sone ki pagdi kaahe baandhi kamar mein Ghar se akeli kaahe nikli gujariya Isiliye lattu tujhpe sabki najariya Machhli kaante mein aake Tab pachhtayi re Arre nahi re chhede hain logan Maee re ghoore hain logan Arre maee maee re
121,Nain Na Jodeen,Badhaai Ho,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",Rochak Kohli,Kumaar, ,Sajna haye! Sajna.. Tere bin saans na lein Mere din raat Ho sajna.. Khaali khaali lagte hain Lakeeron wale hath Ho sajna.. Tere bin saans na lein Mere din raat Khaali khaali lagte hain Lakeeron wale hath Sath mere chalte chalte Haye sath mere chalte chalte Raste na modeen Nain na jodeen kitte Nain na jodi Nain na jodeen kitte Nain na jodi Tainu vaasta khuda da haye Tainu vaasta khuda da Mera dil na todeen Birha da rang jis nu lag jaawan Akhiyan vichon barse sawan Lag ke jis di tutt gayi yaari Raah takde reh gaye sajan Jis nu ishq de gham lagde ne haye Jis nu ishq de gham lagde Reh jaandi jindadi thodi Nain na jodeen kitte Nain na jodi Nain na jodeen kitte Nain na jodi Haye nain na jodeen kitte Nain na jodi Nain na jodeen kitte.. Nain na jodi
122,Ziddi Hai Dil,Namaste England,Mannan Shaah,Mannan Shaah,Gulzar, ,"Ziddi hai dil sunta nahi Ke mushkil hai kya x (2) Behlaun main lakh samjhaun main Magar dil hatheela kahe Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera eak jazeera Tum samandar jaansu Dil ka main kya karoon Main jiyun ya maroon Kya karoon, kya karoon Tum kaho kya karoon Kehta hai yeh dil Zindagi raat hai aur tum roshni Rehta hai yeh dil Khwaabon ki duniya mein jo hai tumse bani Sehta hai yeh dil Tum bin ek aisi ruth hai jo tanhai ki Behta hai yeh dil Dard ki us nadi mein jo hai beh rahi Saari majbooriyan pa gayi hai darmiyan Magar dil hatheela kahe Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera eak jazeera Tum samandar jaansu Dil ka main kya karoon Main jiyun ya maroon Kya karoon, kya karoon Tum kaho kya karoon Soya hai yeh dil Bas tumhare haseen sapnon ki baahon mein Khoya hai yeh dil Beete lamhon ko jaati huyi raahon mein Goya hai yeh dil Aaj bhi unn mohabbat bhari baaaton mein Roya hai yeh dil Yaad karke tumhein chandni raaton mein Gehri mayusiyan chha rahi hain yahan Magar dil hatheela kahe Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera eak jazeera Tum samandar jaansu Dil ka main kya karoon Main jiyun ya maroon Kya karoon, kya karoon Tum kaho kya karoon Kya karoon, kya karoon Main kya karoon"
123,Proper Patola,Namaste England,"Badshah, Diljit Dosanjh, Aastha Gill",Badshah,Badshah, ,"Proper patola, nakhra ae swag Suit Patiala shaahi chunni teri black Oh munde haunke bharde tainu tak tak ke Nache jadon hath tu lakk utte rakh ke Proper patola, nakhra ae swag Suit Patiala shaahi chunni meri black Oh munde haunke bharde mainu tak tak ke Nachan jadon hath main lakk utte rakh ke Look rab ne husna di rakhi koyi thod ni Gallan di laali nu makeup di koyi lod ni Phul ne gulaab de, bull ne janaab de Sonh lagge mummy di mainu Tera koyi tod ni Thodi te til kala kudiye ni baatan paave Suit Patiala, Gucci Vucci nu maatha paave Ghar tera ni main aape lab loon Saanu bas dass ja tu naa Proper patola, nakhra ae swag Suit Patiala shaahi chunni teri black Oh munde haunke bharde tainu tak tak ke Nache jadon hath tu lakk utte rakh ke Main la doon tujhe haar Pehna doon tujhe kangan Ho taiyar, ghuma doon tujhe London Hath mein rakhun hath rakhe jis cheez pe Heere jadwa doon teri kaali kameez pe Aaja mere paas, kar ghuzarish Paise ki kya baat Kar doon noton ki baarish Itna na soch hath mera thaam Tujhe yaad rahegi zindagi bhar yeh shaam Ja mundeya ve tere vass di ni gall Na nach mere naal aake tu close Haan chal patli gali se tu nikal Tere jaison ko rakhti hoon on toes Kyun bole lie tu, na kare try tu Ja ja tu bete ghar ja Proper patola, nakhra ae swag Suit Patiala shaahi chunni teri black Oh munde haunke bharde tainu tak tak ke Nache jadon hath tu lakk utte rakh ke Proper patola, nakhra ae swag Suit Patiala shaahi chunni meri black Oh munde haunke bharde mainu tak tak ke Nachan jadon hath main lakk utte rakh ke"
124,Kya Kahoon Jaaneman,Namaste England,Sahsha Tirupati,Manan Shah,-, ,"Baby let me love you Baby let me kiss you Baby let me hug you Baby let me, let me In baajauon mein to le lo mujhe To chain shayad mile Aao mita bhi do ab to mere Tann-mann ke saare gile Main hoon crazy crazy Tarsa tarsa hai yeh mann Kya kahoon jaaneman Jalta hai kyun yeh badan x (2) Baby let me love you Baby let me kiss you Baby let me hug you Baby let me, let me Ho kaise hosh kho gaye Haan tum to dheere dheere Haan bas mere ho gaye Bechainiyan aur main hoon Betaabiyan aur main hoon Meethi si har angg mein hai thakan Kya kahoon jaaneman Jalta hai kyun yeh badan x (2) Main hoon bawali si Haan tum bhi ho manchale Dekho hum ek nahi thhe Haan bhi thhe faasle Ab na koyi main aur na tum Ek doosre mein dono gumm Kaisi hai deewane dil ki lagan Kya kahoon jaaneman Jalta hai kyun yeh badan x (2) Baby let me love you Baby let me kiss you Baby let me hug you Baby let me, let me"
125,Tu Meri Main Tera,Namaste England,Rahat Fateh Ali Khan,Manan Shah,-, ,"Main yahan, main wahan Chaahe jaaun jahan Poochhta hai yeh dil Tu kahan, tu kahan Main saara chhod ke nikla hoon Ek tere hi vaste Dooriyan hain beech raste raste Kitni bhi doori ho Koyi majboori ho Maine yeh thaana hai Tujhko hi paana hai Aa raha hoon banke deewana Maan hi lega ek din zamana Tu meri main tera x (8) Meri tanhaiyan kar rahi hain bayan Un dino ki haseen dastaan Jabke hum sath thhe Hath mein hath thhe Lamha lamha haseen tha samaa Yaadein barse na kyun Aakhein tarse na kyun Dhoondhti hain tera thikana Tu mile to bas hai batana Tu meri main tera x (8) Yeh safar hai khathin Mushkilein raat din Saaye ki tarah hai sath mere Zakhmi sahi dil ko hai zid yahi Jaana hi hai paas tere Raah ka suna pann Aur tan ki thakan Kitne peeron ka main hoon nishana Phir bhi jaana to maine jaana Tu meri main tera x (8)"
126,Billionaire,-,"Yo Yo Honey Singh, Singhsta, Simar Kaur",-,-, ,"Yo Yo Honey Singh! Chamke jaise chamke hai aatish Hai tu Indian par lage from Marrakesh x (2) Italy ka khayenge dono hum pizza Diplometic passport mera Chahiye no visa Italy ka khayenge dono hum pizza Vegas ka hotel hoga MGM 5 sitara Khol bottle, khol ke bottle Peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill aayega 12 Yaar tera billionaire le nazara, le nazara Le nazara, le nazara Le nazara, le nazara Yo Yo Honey Singh! Alex Spain ki summer Crusing in the Hummar Color hai tera brown Kardashian jaisi kamar Jo bhi main gaata hoon Sach hai uske maayne Tu hai meri Kim Main hoon tera Kanye x (2) Tere liye hi tha main single Tere liye hoon kawara Khol bottle, khol ke bottle Peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill aayega 12 Yaar tera billionaire le nazara, nazara.. Billionaires billionaires lage mere pichhe But I don’t care rakhoon jutti ke niche Yeh tera cash nahi yeh mera dil hai Jo mujhe tere pass teri ore kheeche Rabb ne fursat se tujhe banaya top class Tarasha tujhe hathon se phir bheja mere pass Apna ghar chhod baby mere paas hain do villas Dubai mein Chivas, California mein grass Kyunki main moti saami, gentleman par harami Kyunki main moti saami, gentleman par harami Kyunki main moti saami, gentleman par harami Charted ki tanki full chal Mumbai to Miyami Khol bottle, khol ke bottle Peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill aayega 12 Yaar tera billionaire le nazara, le nazara Le nazara, le nazara Le nazara, le nazara Yo Yo Honey Singh! Main moti saami, gentleman par harami Kyunki main moti saami, gentleman par harami Kyunki main moti saami, gentleman par harami Kyunki main moti saami, gentleman par harami Harami!"
127,Kem Cho,Baazaar,"Ikka, Jyotica Tangri",Tanishk Bagichi,Ikka, ,"Karo hath ko upar Kash aa bhi gayo Aakar main chha bhi gayo Fafda jalebi sab kha bhi gayo Floor pe aag laga bhi gayo Aah! Nacho sab slowly slowly Girl, I like teri chaniya choli I get the money Mere pass cash Ladkiyon ke sath khelun ankh micholiyan Kem cho, maja maa Maja maa Jebein dono bhari hain Baahar dekho ek lambi gaadi khadi hai Jo bhi jalta hai Kaan khol ke woh sune Tere time se mehangi meri ghadi hai Hum aage sab pichhe Ab duniya joote ke neeche Teri bhai ki photo har ladki Ab apne phone mein kheeche Kem cho, maja maa Maja maa Ok! Pocket mein ho rokdo Chookha laage chhokro Jo naache to naache saare Koyi na inko tok ro Kitno ho rokdo Chookha laage chhokro Jo naache to naache saare Koyi na inko tok ro Karo hath ko upar Kash aa bhi gayo Aakar main chha bhi gayo Fafda jalebi sab kha bhi gayo Floor pe aag laga bhi gayo Aah! Nacho sab slowly slowly Girl, I like teri chaniya choli I get the money Mere pass cash Ladkiyon ke sath khelun ankh micholiyan Kem cho, maja maa Make money, money money money Make money, money money money Make money, money money money Make money, maja maa Make money, money money money Make money, money money money Make money, money money money Make money Kem cho, maja maa"
128,Morni Banke,Badhaai Ho,"Guru Randhawa, Neha Kakkar",Tanishk Bagchi,MellowD, ,"Aaja sohniye Catwalk wali baby hai teri chaal Backless suit vich lagdi kamal Ho kithe chali jaandi ae, aaha Ho kithe chali jaandi ae, oho Tainu puchhna hai ikko hi sawal Ho dass de kanwari ae Ya kise de tu naal Kyun dooron dooron jaani ae, aaha Jaan kadd jaani ae, oho Enne vi nakhre tu kar na sohniye Enne vi nakhre tu kar na sohniye Dil mera tere layi dhadke Ni aaj phir kithe, aaj phir kithe Aaj phir kithe chali aen Morni banke, morni banke Aaj phir kithe chali aen Morni banke, morni banke Sunday ton laike Saturday tak Sunday ton laike Saturday tak Karde wait teri khat ke Ni aaj phir kithe, aaj phir kithe Aaj phir kithe chali aen Morni banke, morni banke Balle balle, balle balle x (4) Jadon nachdi kudi tu badi hot lagdi, aaha Uff husna di rani by God lagdi, oho Jadon nachdi kudi tu badi hot lagdi Uff husna di rani by God lagdi Jadon kole aake kardi aen smile kudiye Kise shayar da viral jeha thought lagdi Lakk nu enna lean kara ke Tight wali jean chadha ke Ho gaye ne sab challe Ni aaj phir kithe, aaj phir kithe Aaj phir kithe chali aen Morni banke, morni banke Lagda tu vi hat ke sohneya Dil tu lai gaya kadd ke sohneya Aayi tere layi saj-dhaj ke Ni aaj phir kithe, aaj phir kithe Aaj phir kithe chali aen Morni banke, morni banke Teri ore main chali aan Morni banke, morni banke x (2) Balle balle, balle balle x (2) Main aivein chali aan Morni banke ha ha ha"
129,Do Naina,Bhaiaji Superhit,"Yasser Desai, Aakanksha Sharma",Amjad Nadeem,Amjad Nadeem, ,"Rangeya main tere rang mein Rang le re mujhe rangrez mere Ba-khuda pakeeza hain naina tere Dil kare nainon mein hi rehna tere x (2) Mann ke dhaage jod loon main Mann ke dhaage jod loon main Banwara kare din raina Do naina naina, do naina naina Matware kaare do naina naina Do naina naina, do naina naina Matware kaare do naina naina x (2) Ho dil to teri raah takke Pal bhar hi sahi tu paas to aaye Ek baar jo tujhse mile dil Phir milne ki aas lagaye Man ke malang tere sang sang Tere pichhe pichhe ye aaye Banwara kare din raina Do naina naina, do naina naina Matware kaare do naina naina Do naina naina, do naina naina Matware kaare do naina naina x (2) Dekhoon tujhe to jashn lage din Sochun tujhe to raat Diwali Koyi bhi lamha ghuzre na tujh bin Maine tujhmein duniya basaa li Tere rang rang, tera dhang dhang Mujhpe sawar ho jaaye Banwara kare din raina Do naina naina, do naina naina Matware kaare do naina naina Do naina naina, do naina naina Matware kaare do naina naina x (2)"
130,Naam Hai Bhaiaji,Bhaiaji Superhit,"Amit Mishra, Raftaar","Sanjeev Darshan, Neerraj Pathak","Neerraj Pathak, Sanjeev Darshan", ,"Naam hai bhaiaji Naam hai bhaiya ji U. P. don Jaanta nahi inhein aisa hai kaun Inse panga le aisa hua nahi koyi Born born born born don ha.. ha.. Ab aur suno Raftaar batayega Kandhe pe gamchha, koyi na humsa Sab chhote bhai hain, koyi na chamcha Bheenche jo panja, tode yeh jabde Aive ye dharde hi karte hain lafde Jisko bhi pakde toh ragde ghaseete, yeh peete Yeh body se tagde hain Dil se hain meethe Yeh jab bhi hain Yeh jeete pade hain Yeh sher ke sath mein Cheete khade hain yeh ra.. Bhaiaji don hain ra.. Yeh bhaiya ka sunehara Chulbulk ki chutkiyon ki Bulbul ki chaalein Yeh bhaiaji song hai Bhaiaji, bhaiaji, bhaiaji, bhaiaji Bhaiaji, bhaiya, bhaiya ji x (2) Fighting ka raaja inko Maane hai Jackie Chan Body hai solid inki U. P. ke Superman Dhokhebazon ki karte maiya behan Action hai inka dhan-te-nan Inse panga le aisa hua nahi koyi Born born born born don Bhaiaji, bhaiaji x (3) Bhaiaji, bhaiaji, bhaiaji Bhaiaji Superhit"
131,Dholida,Loveyatri,"Neha Kakkar, Udit Narayan, Palak Muchchal, Raja Hassan",Tanishk Bagchi,Shabbir Ahmed, ,"Sanan sanan, sanan sanan Sanan sanan Dholida Dholida, dholida Dhol haiya ma wage wage dholida x (2) Sanan sanan jaaye re jiya Garbe ki raat mein Choodi khankayi toone Aadhi hi baat mein x (2) Garbe ki raat piya Dhadke mera jiya Keh de na aaj tu hai Mere sath mein Dholida dhol wage, wage wage re Dholida dhol wage, wage wage re Haiya ma wage wage, dhol wage re Haiya ma wage wage, dhol wage re Dholida, dholida Dhol haiya ma wage wage dholida x (2) Ghir ghir ghir ke aayi baarish barsaat ma Ude ude ude jiya gori tere sath ma Haye ghir ghir ghir ke aayi baarish barsaat ma Ude ude ude jiya gori tere sath ma Nainon ki dori se haye Khinche kyon chori se haye Nainon ki dori se, khinche kyon chori se Aise mujhe tadpaye haye Garbe ki raat piya Dhadke mera jiya Keh de na aaj tu hai Mere sath mein Dholida dhol wage, wage wage re Dholida dhol wage, wage wage re Haiya ma wage wage, dhol wage re Haiya ma wage wage, dhol wage re Dholida, dholida Dholida, dholida Dholi dholi dholi wage dholida Dholida wage dholida Dholida, dholida Dhol haiya ma wage wage dholida x (4)"
132,Tu Hi Aham,Sui Dhaaga,Ronkini Gupta,Anu Malik,Varun Grover, ,"Tu hi aham, tu hi veham Tu hi aham, tu hi veham Tujhse juda vaasta Hum hain paakhi bhatke huye Tu saanjh ka raasta Ghaat tu hi paani Tu hi pyaas hai Tu hi chutki, tu ardaas hai x (2) Humko tu na maane Hum maanenge tujhko Ghor andhere mein bhi Pahchanenge tujhko Parvat tu hi tu hi dharam ka Hum paa lenge tujhko Tu rang bhi, berang bhi Tu rang bhi, berang bhi Shanka tu hi aastha Hum hain paakhi bhatke huye Tu saanjh ka raasta Ghaat tu hi paani Tu hi pyaas hai Tu hi chutki, tu ardaas hai Tu hi aham, tu hi veham Tann yeh khwaab ka aadi Mann keet aur patanga Jhooth ke deeve naache Jhootha bane malanga Mukti jo yeh chaahe Toh maare moh adanga Tu hi sada se door tha Tu hi sada se door tha Tu hi sada paas tha Hum hain paakhi bhatke huye Tu saanjh ka raasta Ghaat tu hi paani Tu hi pyaas hai Tu hi chutki, tu ardaas hai Tu hi aham, tu hi veham Tu hi aham, tu hi veham"
