,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
10,Sab Dhan Maati,Jai Gangaajal,Arijit Singh,Salim-Sulaiman,Manoj Muntashir, ,"Madd maya mein lutta re kabeera ho Madd maya mein luta re kabeera Kanch ko samjha kanchan heera Jhar gaye sapne paati paati Aankh khule to sab dhan maati Aankh khule to sab dhan maati Sapne hain laal jawan har tole Sapne hain laal jawan har tole Heere manik moti hi raule Mehal dumehle, ghode, hathi Aankh khule to sab dhan maati Aankh khule to sab dhan maati Khul gayi jehi din Karam gathariya haan HO khul gayi jehi din karam gathariya Dhoo dhoo bar gayi sapan nagariya Koyla hoi gayi saari chaandi Aankh khule to sab dhan maati Aankh khule to sab dhan maati"
11,Ji Huzoori,Ki and Ka,"Mithoon, Deepali",Mithoon,Sayeed Quadri, ,Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Mohabbat hai yeh ji huzoori nahi x (6) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin x (2) Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Mujhko ehsas hai par main kehta nahin Mohabbat hai yeh ji huzuri nahin Paas pehle ke jitna main rehta nahi Mohabbat hai yeh ji hazoori nahi Yeh takaaza hai mere halat ka Lena dena hai nahin Kuchh bhi jazbaat ka Yeh sach baat tujhse main keh raha Na aayi hai inmein zara si kami Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Tujhko manana mujhe mujhe to aata nahi Mohabbat hai yeh ji huzuri nahin Par yeh nahin ke tujhe main chahata nahin Mohabbat hai yeh ji hazoori nahi Waqt badla hai zaraa sa Main wahi hun jaan-e-jaan Kaise tujhko baat main yeh samjhain sathiya Kaise khush tujhe rakhoon nahin bata Par chaahta hoon tere labbon pe hansi Mohabbat hai yeh ji huzoori nahin Jee haan x (4) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin x (2) Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin Jee haan Mohabbat hai yeh ji huzoori nahin x (4) Meri har khushi mein ho teri khushi Mohabbat mein aisa zaruri nahin Tu jab milna chaahe na mil saku Na milna mera koyi doori nahin
12,Pump It,Ki and Ka,"Meet Bros Anjjan, Yash Narvekar",Meet Bros Anjjan,Kumaar, ,"Body mein jo music hai Usmein bhi to magic hai Haan body mein jo music hai Usmein bhi to magic hai Ismein jo rhythm hai Woh feel karo tum Yeh jo dil ke woofer hain Bajte neeche upar hain Ismein jo rhythm hai Woh feel karo tum Masti ki groove par Left right move kar Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2) Pump it, pump it x (3) Life ko beautiful Hone hone hone do Khud ko hi khud mein tum Khone khone khone do Keh do yeh sabko jaa ke Koyi na disturb kare Hil hil ke aaj hila do Kone kone kone ko Thoda sa freak ho, style bhi unique ho Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2) Aate hain lovely lamhe Aane aane aane do Jaate hain ched ke tumko Jaane jaane jaane do Mudke na aayegi yeh Life naughty naughty aaj Chaaya hai crazy nasha Chaane chaane chaane do Baat meri note kar, body ko hot kar Baby full speed mein shake your Bum bum bum bum bum bum Fiqron ko phenk kar Aage peechhe dekh kar Yaaro sab peeth utha ke Jump jump jump jump Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Pump it, pump it, pum pum pa pa pum Dil yeh kare shout x (2)"
13,Kabir Most Wanted Munda,Ki & Ka,"Arjun Kapoor, Meet Bros Anjjan, Palak Muchhal",Meet Bros Anjjan,Kumaar, ,"Most wanted, most wanted Most wanted munda x (4) Mujh mein hai hazaar khoobiyan Koyi ni hai ga like him Mile na mere jaisa koyi Smile teri kardi hai kill x (2) Sare shehar mein dhoondhe To ik bas main hoon only Oh soni kendi meet me just let me know Baby when you are lonely Har ladki soche kash yeh life mein Yeh hunda, hunda, hunda ae Main hoon most wanted munda Kehti hai har kudi Haan main hu most wanted munda Kehti hai har kudi Yo I’m most wanted munda Kehti hai har kudi Munda can shop, munda can chop Kendi bargaining mein hai top Munda hai ga smart, master of the art Iske to seene mein kudiyon waala heart He doesn’t need to make any money shoney Money shoney, money shoney But he feels on top like a honey bunny Honey bunny, honey bunny You won’t fall in love with him The chances are slim There’s nobody hai ga like him Munda yeh perfect hai Charcha hai isske naam ka Special Rab ne banaya hai Bas yehi to hai ik kaam ka x (2) Mere hi naam se hasinon ki Chalti hai heartbeat Mere hi vaste kudiyon mein Hoti hai maar peet Lakhon mein se hai yaar mujhko Dhoondha, dhoondha, dhoondha Main hu most wanted, sabse zyaada Most wanted munda Kehti hai har kudi Haan main hu most wanted munda Kehti hai har kudi Yo I’m most wanted munda Kehti hai har kudi x (2) Most wanted munda"
14,Most Wanted Munda,Ki and Ka,"Meet Bros Anjjan, Earl Edgar",Meet Bros Anjjan,Kumaar, ,"Nobody haiga like him x (2) Isme to hazar khoobiyan Nobody haiga like him Milega na iske jaisa chaahe Chirag leke dhoondo raat din Thoda sushil hai, sundar hai Aur thoda homely Sambhaale sabko ghar ke kaam kare Hai man of family Har lakdi bole kaash life mein Yeh hunda hunda hunda ae Yeh hai most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi Munda can shop, munda can chop Kende bargaing mein hai yeh top Munda haiga smart, master of the art Isske to seene mein kudiyo waala heart He doesn’t need to make any money shoney Money shoney, money shoney But he feels on top like a honey bunny Honey bunny, honey bunny That you won’t fall in love With him chances are slim There’s nobody hega like him Munda yeh perfect hai Charcha hai isske naam ka Ho special rab ne banaaya hai Bas yehi to hai ik kaam ka Arre re iski to fan hain Yeh saari auntiyan Arre re isske hi to door pe Sab maare ghantiyan Bas ik baari tu khol de Ghar ka kunda kunda kunda oye Yeh hai most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi Isme to hazar khoobiyan Nobody haiga like him Milega na iske jaisa chaahe Chirag leke dhoondo raat din Thoda sushil hai, sundar hai Aur thoda homely Sambhaale sabko ghar ke kaam kare Hai man of family Har lakdi bole kaash life mein Yeh hunda hunda hunda ae I am most wanted sabse zyaada Most wanted munda Kehti hai har kudi Yeh hai most wanted munda Kehti hai har kudi He is the most wanted munda Kehti hai har kudi"
15,Foolishq,Ki & Ka,"Armaan Malik, Shreya Ghoshal",Ilaiyaraaja,Amitabh Bhattacharya, ,"Foolishq foolishq tera mera Foolishq fool ishq tedha medha x (2) Dil jispe aana na ho Uss pe hi aata hai kyon Jis tarfa jana na ho Uss tarfa jata hai kyon Jata hai kyon Foolishq foolishq tera mera Foolishq fool ishq tedha medha Foolishq foolishq kuchh kuchh mera Foolishq fool ishq zyada tera Sansaniyaan tan-man mein Gadbadiyaan dhadkan mein Karta hai kyon karta hai Par isski sohbat mein Rehne ko phir bhi dil Karta hai, kyon karta hai Foolishq thoda hai yeh mana Fool ishq ka hi hai zamana Dil ko achchha laghta hai to Aakhein is se kyon churana Qismat walo ko milta hai yeh nazrana Foolishq foolishq tera mera Achchha hi hai tedha medha Foolishq foolishq tera mera Foolishq fool ishq tedha medha Hothon pe aur kuchh hai Par dil mein aur kuchh hai Donon mein ik to sach hai Dil sachcha hoga to Sach woh hi bolega Phir kaisi yeh mach mach hai Foolishq dil ki nadani hai Dil ki aadat bach-kani hai Fool ishq se hi darta hai yeh Phir bhi foolishq karta hai yeh Bhula ke bhi bhulaya to yeh jaaye na Foolishq foolishq tera mera Foolishq fool ishq tedha medha Foolishq fool ishq tera mera Achchha hi hai tedha medha"
16,Tere Naina Mere Naino Se,Awesome Mausam,"Shaan, Palak Muchhal",Komal Aran Atariya,Yogesh Bhardwaj, ,"Tere naina mere naino se laage To mere dil ko karaar aaya Haan haan.. Tere yeh naina mere naino se laage To mere dil ko karaar aaya Kaisa yeh deewanapan Kaisi yeh laagi lagan Kaisa nasha chhaya Kya ho raha tumko khabar Hai ke nahi oh bekhabar Haan haan.. Ishq ishq hai, ishq ishq hai Ishq ishq hai ishq x (2) Kya cheez hai jo Meri raghon mein samaane lagi Mere dil ki dhadkan Tere taraane gaane lagi Tumhein dekhkar ajab sa ehsaas hai Kuchh bhi nazar na aaye jo tu paas hai Kya ho raha tumko khabar Hai ke nahi oh bekhabar Haan haan.. Ishq ishq hai, ishq ishq hai Ishq ishq hai ishq x (2)"
17,Laila Majnu,Awesome Mausam,"Javed Ali, Monali Thakur",Mannishankar,Yogesh Bhardwaj, ,"Ho do jism ek jaan Do jism ek jaan ik dooje pe kurban Yeh dastan-e-Laila Laila Laila majnu Yeh dastan-e-Laila Laila Laila majnu Yeh dastan-e Laila Laila Laila majnu x (3) Laila, Laila, Laila, Laila Meri majbooriyan samajh lena Haal-e-dil tumse main kahoon kaise Aa gaya kaam yeh diwanapan Varna is gham ko main sahoon kaise In bujhti aankhon ko hai tera intezar Dum ghutne se pehle tu aaja ek baar Malik-e do jahan Malik-e do jahan yeh kaisa imtehan Yeh dastan-e Laila Laila Laila majnu x (2) Yeh dastan-e Laila Laila Laila majnu x (3)"
18,Bolna,Kapoor & Sons,"Arijit Singh, Asees Kaur",Tanishk Bagchi,Dr. Devender Kafir, ,"Chutteya na choote mose Rang tera dolna Ik tere baajo duja Mera koyi mol na Bolna maahi bolna Bol na maahi bol na Tere sang hansna main Tere sang rona Tujhmein hi rehna main Tujhmein hi khona Dil mein chupa ke tujhe Dil nahiyo kholna Mar ke bhi maahi tose muh na modna Bolna maahi bolna Bol na maahi bol na Chutteya na choote mose Rang tera dolna Ik tere baajo duja Mera koyi mol na Bolna maahi bolna, bolna Bol na maahi bol na Maahi bolna"
19,Ghaint Fan,Fan,Harbhajan Maan,Vishal-Shekhar,Shailender Sodhi, ,"Follow karan twitter tey Tag karan Facebook tey Tere quiz ch Google nu Beat kar diyan Mirror ch tu dissda ae Neend ch tu tikkda ae Teri madness ne mainu dheet kar ditta Tu hai sode di botal Main banta tera Main tey handle karan Har tanta tera Mere dil de mobile da tu Unlimited plan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Ho tenu vekh de hi dil ch Dhen te nan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Tere utthe kari Ph.D. Mera luck, mera hak tu hi only wajah Main tey sachchi ho jawan touchy Koyi tere je baare ch bole bura Tera yaar oye, mere tey bukhar oye Jaane saari colony main tere layi Insane ho gaya ha ha ha Main tera haye re ghaint Oye re ghaint fan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Ho tenu vekh de hi dil ch Dhen te nan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Style tera fatte’aan Tere tey khele satte’aan Tere naal wifi connection judya Tere tak jo aaundiya ne Line’aa saari dappian ne Koyi kinna vi roke main na rukya Oh tu jo jo keha, main ditto keeta Kadi jeb ch rakhya, kadi dil tey likhta Teri akkhan di garmi ch Sir ton pair tak tan hogaya Main tera dhish, ho tera ha Main tera fan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya Main tenu vekh de hi dil ch Dhen te nan ho gaya Main tera haye re ghaint Oye re ghaint fan ho gaya"
20,Bhojpuri Fan Anthem,Fan,Manoj Tiwari,Vishal-Shekhar,Ranju Sinha, ,"Follow kari Twitterwa par Jor daali Facebookwa par Tohre khaatir Googlwa ke pachaad deli Mirrorwa mein bujhaala tu Nindiyon mein samaala tu Tohre laganiyan mein pagla gayi ho Tu ta sodwa ke botal, hum dhakkan tohar Tu kadak mithai, hum makkhan tohar Hamre dilwa ke mobiliya mein Lifetime late plan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Ho tohra dekhte na dilwa dhan te nan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Hum tohre par kaini PHD Hamar luck, hamar hak ab tu hi bada Batiyan saanchi, janela Ranchi Kehu tohra ke boli gadbad je boli Woh kari yaar haye, utari bukhar haye Jaane sagri nagariya ee dil Tohre bin khaali can ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Ho tohra dekhte na dilwa dhan te nan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Style tohra hatke ba Bhaav tohra datke ba Tohre se wifi ke connection judal Tohre tak je jayela Linewa sab tapli hum Kitna kehu roke, rok na paayi ab Tu ta je je kahla, hum ta oo oo kaili Kabho pocket bhitar, karejwa se satli Haan tohre ankhiyan ke garmi mein Brainwa sala fail ho gayil Ee dilwa dhish, haye dilwa haa Ee dilwa fan ho gayil Ee dilwa tohre jabardast ab to fan ho gayil Ho tohra dekhte na dilwa dhan te nan ho gayi Ee dilwa tohre jabardast ab to fan ho gayil"
21,Titliyan,Rocky Handsome,Sunidhi Chauhan,"Sunny Bawra, Inder Bawra",Sagar Lahauri, ,"Look at my eye, tell me a lie Give me a try bye bye Let me a role, give me control Leave the whole bye bye This is the time do the crime We’re otta line bye bye Let me a role, give me control Leave the whole bye bye Hello na ishq mein chalein Udhariyan kabhi Jo hai abhi mera de de tu Hello yeh neendon ka nasha Jo aakhon mein bhara Tera hai tera le le tu Yeh titliyan hain jo udd gayi to Jo mud gayi to phir kabhi na mile Labon ke pyale tere hawale Yeh pal gulabi Libas yeh haya ka tu utaar de zara zara Yehi bas yehi raat hai zindagi Kal tu hoga kahin main kahin aur Yahan bas yahan banti hain qismate Khatm hote hain tisnagi yeh daur Aaha aaha aaha Hello yeh raatein jo gayi To na mile kabhi Yeh hai teri abhi jee le tu Hello yeh husn ki gali Hai chaand ki dali Yeh jaam sharbati pee le tu Yeh titliyan hain jo udd gayi to Jo mud gayi to phir kabhi na mile Labon ke pyale tere hawale Yeh pal gulabi Libas yeh haya ka tu utaar de zara zara Adaa har adaa me bhari shokhiyan Husn kehte jise hai reshmi dor Haan yahin bas yahin hai Zameen pe jannatein Waqt yeh keh raha aa meri or Hello ameer ho rahi fakiriyan meri Jo kho raha mera khone de Hello yeh khaabon ka safar Faqat hai raat bhar Jo ho raha tera hone de Yeh titliyan hain jo udd gayi to Jo mud gayi to phir kabhi na mile Labon ke pyale tere hawale Yeh pal gulabi Libas yeh haya ka tu utaar de zara zara"
22,Rehnuma,Rocky Handsome,"Shreya Ghoshal, Inder Bawra","Sunny Bawra, Inder Bawra","Manoj Muntashir, Sagar Lahauri", ,"Rehunma Tu jo mila, sab mil gaya Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Mujhko mera Rab mil gaya Baahon se aage tere Duniya nahin hai meri Rakh le mujhko yahi mere rehnuma Jo na bhaaye teri nazar ko Dekhoongi na main phir wo nazara Tu jo mile to chod du khud ko Tujhmein kahin hai mera kinara Bas tu hi tu mujhe yaad hai Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Ghuzri hoon jab se main tere dar se Hansne lagi hu main khulke rehbar Dard se tere rishta juda to Ab muskurate hain mere manzar (Hain mere manzar) Haan rab ki mujhe saughat hai Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Baahon se aage tere Duniya nahin hai meri Rakh le mujhko yahi mere rehnuma"
23,Alfazon Ki Tarah,Rocky Handsome,Ankit Tiwari,Ankit Tiwari,Abhendra Kumar Upadhyay, ,Tere siwa kisko sochoon main Meri soch pe tum baithe ho Saasein jahan banti hain meri Us mod pe tum rehte ho x (2) Tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah Mere hathon se jo adaa ho Us duva ki chahat Ghuzre jo rab ke yahan se woh Jannat isi raah tu Sajda tumhein sau dafa karoon Us rab ki tarah dikhte ho Saasein jahan banti hain meri Us mod pe tum rehte ho Tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah Khwaabon ke labon pe tu hi tha ruka Ya tera naam tha Neenden meri dhoondti rahi tujhe Tu kahin gumnaam tha Lagta hoon main tere hu-ba-hu Aur tum bhi mere jaise ho Saasein jahan banti hain meri Us mod pe tum rehte ho Ho tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah
