,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
0,Kala Chashma,Baar Baar Dekho,"Badshah,, Neha Kakkar, Amar Arshi",-,"Amrik Singh, Kumaar", ,Tere naa diyan dhumma pai gaiyan Tu Chandigarh to aayi nai Tainu dekh ke hoke bharde ne Khade chauwkan vich tabaahi ni Thodi te kala til kudiye Thodi te kala til kudiye Jyo daag ae chaand de tukde te Tainu kala chashma Tainu kala chashma Tainu kala chashma janchda ae Janchda ae gore mukhde te Tainu kala chashma janchda ae Janchda ae gore mukhde te Sadkon pe chale jab Ladkon ke dilon mein tu Aag laga de baby fire! Nakli se nakhre tu kare Jab dekhe hamein jhoothi liar Kala kala chashma janchta tere mukhde pe Jaise kala til janchta hai tere chin pe Apni adaon se zyada nahi to 10-12 Ladke to maar hi deti hogi tu din mein Tujh jaise 36 phirte hain Meri vargi aur na honi ve Vargi aur na honi ve Var var vargi aur na honi ve Munda bilkul desi hai Main Katrina to sohni ve Haan main fed up ho gaiyan mundyan Sun sun ke tere dukhde ve Mainu kala chashma Mainu kala kala kala kala kala kala kala Ho mainu kala chashma janchda ae Janchda hai gore mukhde pe Mainu kala chashma janchda ae Janchda hai gore mukhde pe Janchda hai gore mukhde te Sadkon pe chale jab Ladkon ke dilon mein tu Aag laga de baby fire! Nakli se nakhre tu kare Jab dekhe hamein jhoothi liar Ho mainu kala chashma Ho mainu kala kala chashma Aye kala chashma Oh kala kala kala kala kala Tainu kala chashma janchda ae Janchda ae gore mukhde te Mainu kala chashma janchda ae Janchda ae gore mukhde te x (2)
1,Tu Mila,Do Lafzon Ki Kahani,Shrey Singhal,Meet Bros,Kumaar, ,"Ruswaiyan hain, ruswaiyan hain Tanhaiyan hain, tanhaiyan Aksar meri baaton mein to zikra hai tera Teri saason ke itra mein dooba main mila Tere ishq se rihaayi hogi na meri Jannat ka nasha teri panaahon mein mila Tu mila, tu mila Sajde ka hai sila x (2) Jab ishq ka mausam aaye Man tujhko paas bulaaye Ik dooje ki barish mein Hum rooh tak bheegte jayein Aksar meri sardiyon mein tu hai dhoop sa Teri baahon mein mile hai ik sukun sa Tere ishq se rihaayi hogi na meri Jannat ka nasha teri panaahon mein mila Tu mila, tu mila Sajde ka hai sila x (2) Tere hothon ki yeh shabnam Mere dard pe rakh de marham Tere bheege bheege lafz yeh Meri pyaas bujhaye har dum Aksar meri aakhon mein to aks hai tera Teri aakhon mein rahu yahi jeena hai mera Tere ishq se rihaayi hogi na meri Jannat ka nasha teri panaahon mein mila Tu mila, tu mila Sajde ka hai sila x (2)"
2,Aashiq Tera,Happy Bhag Jayegi,"Altamash Faridi, Sohail Sen",Sohail Sen,Mudassar Aziz, ,"Ho meharban ve Kara main tera sukriya ve Ho saahiba ve Mareez-e-ishq ho gaya ve Mainu lagdi nahi koyi dawa ve Mera rab hi hai mera gawah ve Hunn tu kar mera faisla ve Jo naal tere na jiya To jee ke kee kara Tera, tera, tera, tera, tera, tera Tera, tera, tera, tera, tera hua haan Aashiq tera, tera, tera, tera, tera, tera Tera, tera, tera, tera, tera tera hua haan Hosh baaton ka aksar nahin tha Dil hamara to shayar nahin tha Toone likh di yeh taqdeer varna Ishq waala muqaddar nahin tha Teri nazron ke kaaran Chhoote hain deen-o-dharam Kiye jaa tu kiye jaa Abhi kuchh aur sitam Nahin sambhla dil mere sambhale Isse kar daal tere hawale Tu mita de ya chaahe bacha le Ja ishq pe mere chala le apni marziyan Tera, tera, tera, tera, tera, tera Tera, tera, tera, tera, tera hua haan Aashiq tera, tera, tera, tera, tera, tera Tera, tera, tera, tera, tera tera hua haan"
3,Tere Sang Yaara,Rustom,Atif Aslam,Arko Pravo Mukherjee,Manoj Muntashir, ,Tere sang yaara khushrang bahaara Tu raat diwani main zard sitara Ho karam khudaya hai Tujhe mujhse milaaya hai Tujhpe marke hi to Mujhe jeena aaya hai Ho tere sang yaara khushrang bahaara Tu raat diwani main zard sitara Ho tere sang yara khushrang bahaara Main tera ho jaoon jo tu kar de ishaara Kahin kisi bhi gali mein jaoon main Teri khushbu se takraoon main Har raat jo aata hai mujhe Woh khaab tu Tera mera milna dastur hai Tere hone se mujhmein noor hai Main hu soona sa ek aasman Mehtab tu Ho karam khudaya hai Tujhe maine jo paya hai Tujhpe marke hi to Mujhe jeena aaya hai Ho tere sang yaara khush rang bahaara Tu raat diwani main zard sitara Ho tere sang yara khush rang bahaara Tere bin ab to na jeena gawara Maine chhode hain baaki sare raaste Bas aaya hu tere paas re Meri aakhon mein tera naam hai Pehchan le Sab kuchh mere liye tere baad hai Sau baaton ki ik baat hai Main na jaoonga kabhi tujhe chod ke Yeh jaan le Ho karam khudaya hai Tujhe mujhse milaaya hai Tujhpe marke hi to Mujhe jeena aaya hai Tere sang yaara khushrang bahaara Tu raat diwani main zard sitara Tere sang yaara khushrang bahaara Main behta musafir tu thehra kinaara
4,I Wanna Tera Ishq,Great Grand Masti,"Shivranjani Singh, Shivangi Bhayana",Sanjeev Darshan,Kumaar, ,"Oh baby come to me Raat hai jawan, jawan, jawan Why don’t you love me boy Jata hai kahaan, kahaan, kahaan Mauja karaoongi, heaven dikhaoongi Life me lele thoda risk I wanna tera ishq ishq Tera ishq ishq, tera ishq ishq Mere jaaniya x (2) I wanna tera.. I wanna tera.. Phaad diya calendar maine Tere intezar ka Mujh pe ab barsa de raaja Shower apne pyaar ka Shower apne pyaar ka Shower apne pyaar ka Phaad diya calendar maine Tere intezar ka Mujh pe ab barsa de raaja Shower apne pyaar ka Ek se bhale hai do Do se bhale hai teen Aaja ho jaayen sare mix I wanna tera I wanna tera ishq ishq Tera ishq ishq, tera ishq ishq Mere jaaniya"
5,Teri Kamar Ko,Great Grand Masti,"Sanjeev-Darshan, Kanika Kapoor",Sanjeev-Darshan,Kumaar, ,"Masti, great grand masti Teri kamar ko meri nazar ne Dekha to maari siti Bin tere tadap-tadap ke Raat meri beeti x (2) Toone jo dil ki baat na maani To karega zabardasti Bahon mein aaja tu milke karen Great grand masti Masti, masti, masti Darling pehle party kara Darling Margarita pila Darling jab chadhega nasha Phir jo bhi chahe kar le Darling pehle gaadi mein ghuma Darling ik diamond dila Darling mummy-daddy se mila Phir jo bhi chahe kar le Teri kamar ko meri nazar ne Dekha to maari siti Bin tere tadap-tadap ke Raat meri beeti Toone jo dil ki baat na maani To karega zabardasti Bahon mein aaja tu milke karen Great grand masti Masti, masti, masti Ho baby teri look kamaal lagti hai Different teri chaal lagti hai Sunday ko banaya tujhe rab ne Tu kudiye bemisal lagti hai x (2) Teri kamar ko Teri kamar ko Teri teri kamar ko Teri kamar ko meri nazar ne Dekha to maari siti Bin tere tadap-tadap ke Raat meri beeti Toone jo dil ki baat na maani To karega zabardasti Bahon mein aaja tu milke karen Great grand masti Masti, masti, masti"
6,Sau Tarah Ke,Dishoom,-,Pritam Chakraborty,-, ,Kal subah sochenge jo aaj raat kiya Kal subah ginn lenge sari ghaltiyan Tu mera abhi ho jana ajnabi Phir hum milenge naa kabhi Kal subah chale jaayenge hai ghar jahan Kal subah bole jo bhi bolega jahan Tu mera abhi ho jana ajnabi Phir hum milenge naa kabhi Ya allah habibi allah! Sau tarah ke rog le lun Ishq ka marz kyaa hai Sau tarah ke rog le lun Ishq ka marz kyaa hai Tu kahe to jaan de dun Kehne mein harz kyaa hai Sau tarah ke rog le lun Ishq ka marz kyaa hai Baahon ko baahon mein dede tu jagah Tujhse to do pal ka matlab hai mera Tere jaise hi mera bhi Dil khudgarz sa hai Tu kahe to jaan de dun Kehne mein harz kyaa hai Ya allah habibi allah! Sau tarah ke rog le lun Ishq ka marz kyaa hai Sau tarah ke rog le lun Ishq ka marz kyaa hai
7,Long Night,A Scandall,"Ikka, Shivangi Bhayana",Ikka-Arko,Intense, ,"Aise na dekho kuchh kuchh hota hai Aaj-kal yaar na mera sone de, na sota hai Bahon mein lekar baitha rehta hai Na mere hoth hile Na dekho wo kuchh kehta hai Tu zulf se khele meri Tode angdaai meri Bhool ke duniya sari hi Ab main to ho gayi teri Saiyan goodnight na mujhko kehne deta hai It’s a long night, it’s a long night It’s a long night Yaar na mujhko mera sone deta hai It’s a long night, it’s a long night It’s a long night Khud ko na mujhse judaa yeh hone deta hai Oh yeah..! Long night I swear jab mujhe touch kare tu Udde laakhon titliyan Udde laakhon titliyan Seekhoongi pyar dein main kaise Jab tak karoongi na galtiyan Jab tak karoongi na galtiyan Tanhai na main feel karoon Jab sath mein mere hota tu Baby har saans ke sath kahoon Main teri, mera tu Saiyan goodnight na mujhko kehne deta hai It’s a long night, it’s a long night It’s a long night Yaar na mujhko mera sone deta hai It’s a long night, it’s a long night It’s a long night Khud ko na mujhse judaa yeh hone deta hai Ek raat baiman aur tu mere sath hai Kabse tha pyasa aaj mili barsat hai Aas si jaga ke, meri pyas si badha ke Goodnight kehke so rahi ho Yer bhi koyi baat hai Chill vaisa karte hain, dim karte hain light Litane de mujhko baby apne left side Sar rakh le tu meri bahon par Aise na sharam kar, kar mujhe hug tight It’s a long night, it’s a long night It’s a long night It’s a long night, it’s a long night It’s a long night Yaar na mujhko mera sone deta hai x (2) It’s a long night, it’s a long night It’s a long night Khud ko na mujhse judaa yeh hone deta hai Long night"
8,Dama Dama Dam,-,Vishal Dadlani,Vishal Bhardwaj,Irshad Kamil, ,Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam doo x (2) Oye dil ki batein dil hi jane Ulaj gaye hain taane-baane Chal ab theke ya phir thane tu Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam doo Arey sach sadkon pe nanga nache Jhoot kahein Dilli ke khanche Sunle oh mehbooba ke chaachu Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam doo x (2) Aye anpadh baith shikhsha bante Dharam dilo mein boye kante Roti mango milte chante re Baith baith santon ki godi Bina tel ke janta dho di Dilli baitha bada virodhi re Arey janta ke sang wohi jhol hai Pichcwaade mein wahi pol hai Bahumat jhoota naap tol hai re Aani baani daani rani In sabne hai milkar thani Bech ke Bharat maa kha jaani re Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam Dama dama dam Dam dam dam dam doo x (2) Oye dil ki batein dil hi jane Ulaj gaye hain taane-baane Chal ab theke ya phir thane tu Sach sadkon pe nanga nache Jhoot kahein Dilli ke khanche Sunle oh mehbooba ke chaachu
9,Shola Jo Bhadke,Ekk Albela,"Vinay Mandke, Anwesshaa","C Ramchandra, Santosh Mulekar",-, ,Shola jo bhadke dil mera dhadke Shola jo bhadke dil mera dhadke Dard jawaani ka sataye badh badh ke x (2) Pyaar ko mere kisne pukara Dil me utar gaya kiska ishara x (2) Yaad yeh kiski layi pakad ke Yaad yeh kiski layi pakad ke Dard jawaani ka sataye badh badh ke Shola jo bhadke dil mera dhadke Shola jo bhadke dil mera dhadke Dard jawaani ka sataye badh badh ke x (2) Aa dekha jo tumko Dekha jo tumko dard gaya tham Ab to na honge tumse juda hum x (2) Jee na sakenge tumse bichad ke Jee na sakenge tumse bichad ke Dard jawaani ka sataye badh badh ke Shola jo bhadke dil mera dhadke Shola jo bhadke dil mera dhadke Dard jawaani ka sataye badh badh ke Shola jo bhadke dil mera dhadke
