,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
10,Grahan,TE3N,Vishal Dadlani,Clinton Cerejo,Amitabh Bhattacharya, ,Khushi ke jalte suraj ko Sukun ke ujle gumbaj ko Buri nazron ka nigal gaya grahan Assar tha uski sazish mein Jo saiyyaron ki gardish mein Zahar ki tarah thehar gaya grahan Khushi ke jalte suraj ko Sukun ke ujle gumbaj ko Buri nazron ka nigal gaya grahan Wo aafat hi kuchh aisi thi Ke fitrat deemak jaisi thi Jo til-til karke utar gaya grahan Nazron ki aage dhundh hai Sab darwaaze band hain Jhoota lage har dilaasa Haanf rahi awaaz hai Parde ke peeche raaz hai Hota nahin kyun khulaasa Muskurahat sehmi hai Gham ki gehma ghemi hai Duayein saari nikli ke bewafa Raat kat-ti karwat mein Ansoo chhupa ke silwat mein Subah ki kirnein bhi lagti hain khafa Qayamat bhar ke daaman mein Kisi ke ghar ke angan mein Kehar ki tarah utar gaya grahan Nazron ki aage dhundh hai Sab darwaaze band hain Jhoota lage har dilaasa Haanf rahi awaaz hai Parde ke peeche raaz hai Hota nahin kyun khulaasa 
11,Qatl-E-Aam,Raman Raghav 2.0,Sona Mohapatra,Ram Sampath,Varun Grover, ,Hai ghaneemat dil yeh patthar Ho chuka tamam hai Hai ghaneemat dil yeh patthar Ho chuka tamam hai Aapki aankhon mein varna Aaj qatl-e-aam hai Aapki aankhon mein varna Aaj qatl-e-aam hai Qatl-E.. Qatl-E.. Chhod ke saari sharam ko Shaam ki chaukhat pare Chhod ke saari sharam ko Shaam ki chaukhat pare Aaiye aa jaaiye Yeh raat ik gamaam hai Aaiye aa jaaiye Yeh raat ik gamaam hai Aapki aankhon mein varna Aaj qatl-e-aam hai Aapki aankhon mein varna Aaj qatl-e-aam hai Qatl-E.. Qatl-E..
12,Tere Bina,Shorgul,Arijit Singh,Niladri Kumar,Kapil Sibal, ,"Tere bina jee na lage Tere bina jee na lage Nazro me bhi tu hi dikhe Tum na mile raaton jaage Khamoshi me sab keh gaye hai Jahan mill gaya, jab tum mile Aage badhe sab jaan ke Tere liye hum jee rahe Tere bina jee na lage Tere bina jee na lage …. continues"
13,Meheram Mere,Hai Apna Dil Toh Awara,Mohit Chauhan,Ajay Singha,Mohit Pathak, ,"Mere dil ka saaz ban ke Lafzon mein aa rahe ho tum x (2) Dhimi dhimi si hawa mein ghul ke Saansein mehka rahe ho tum Tujhse dhadkan mile Mit gaye fasle Behka hai dil, behki hai jaan Behke hain raaste Meheram mere, mehram mere Tu hi meri zindagi le Meheram mere, mehram mere Tera ishq bandagi ve Meheram mere, mehram mere Tu hi toh hai meri zindagi ve Meheram mere, mehram mere Tera ishq bandagi Ishq bandagi, bandagi x (4) Mil gaye yeh tere mere raste Na jane dil chal pada hai kahan Kuchh na khabar, kuchh na pata Bas hosh yeh ke tum ho mere Na jane kaisa huva hai asar Ke tum ban gaye mera jahan Mera dil ki duva yehi hai Ab hardam sath mein ho tum Dekhein yeh nazar jahan bhi Bas ho tujhse hi ru-ba-ru Tujhme paya khuda Tu mera meherama Meri chahatein, yeh ibaadatein Tujhse hain kab juda Meheram mere, mehram mere Tu hi meri zindagi le Meheram mere, mehram mere Tera ishq bandagi ve Meheram mere, mehram mere Tu hi toh hai meri zindagi ve Meheram mere, mehram mere Tera ishq bandagi Ishq bandagi, bandagi.."
14,Kamakshi,Luv U Alia,Shaan,Jassie Gift,Ashwin Bhandare, ,Kamakshi Kamakshi Aakhon se tu kill karti Sonakshi Kamakshi Kamakshi There is nobody tere jaisa na koyi Baby! Lets move it Aaha! Lets move it ha ha ha Kamakshi Kamakshi Aakhon se tu kill karti Sonakshi Feelin’ so hot baby Make me feel good Kamakshi Kamakshi There is nobody tere jaisa na koyi Na na na nana baby Na na na nana Hey tu to hai satrangi Duba tere rangon mein Tera jalwa dekhoon Main nakhraale dhangon mein Shabashi hai What? Shabashi hai Come again Shabashi use jisne banaya tumhein Kamakshi Kamakshi Aakhon se tu kill karti Sonakshi Kamakshi Kamakshi There is nobody tere jaisa na koyi Oh yeah! aaha x (2) Shake it Hangin’ out with the stars First class private jet Two million dollar bets Fancy planes is what it takes Glamour is my middle name Fendi and Prada Will make me go ooh la la Kamakshi Kamakshi I’m the one who is going to set you free Kamakshi Kamakshi Know you’re dreaming about making love to me
15,Tu Junooniyat,Junooniyat,"Shrey Singhal, Akriti Kakar",Jeet Gannguli,Manoj Muntashir, ,"Mere dil ke yeh tukde hain Nigahon se chunoon yaara Mohabbat ki kahani hai Mohabbat se suno yaara Main aaya hoon tere darr pe To ab jaana nahi hoga Jiyoonga ya maroonga main Jo hona hai yahin hoga Kehta hoon main besakht sa Sun le yeh mera khuda Tera ishq hai meri saltanat Tu zid meri, tu junooniyat Main hoon diljala, mujhe teri latt Tu zid meri, tu junooniyat Kitabon mein padha tha yeh Khuda ko pyar hai pyaara Kiya jo pyar humne to Hua dushman jahan sara Thukra diya maine yeh jahan Le aaj tujhko chuna Tera ishq hai meri saltanat Tu zid meri, tu junooniyat Main hoon diljala, mujhe teri latt Tu zid meri, tu junooniyat Badi khushrang thi wo shaamen Bada roshan savera tha Wo kyon khoya jise chaaha Woh kyun bichhda jo mera tha Jin aakhon mein main rehta tha Un aakhon mein hai paani kyon Nahi badla kahin kuchh bhi Main tera tha, main tera hoon Udd ke zara tu dekh le Itni si hai ilteza Tera ishq hai meri saltanat Tu zid meri, tu junooniyat Main hoon diljala, mujhe teri latt Tu zid meri, tu junooniyat x (2) Tera humsafar ban jaoon main Ek baar tu keh de haan"
16,Sultan Title Song,Sultan,"Sukhwinder Singh, Shadab Faridi",Vishal-Shekhar,Irshad Kamil, ,"Qismat jo aave saamne Tu mod de uska panja re x (2) Chal mod de uska panja re Saat aasman cheere Ab saat samundar peere Chal saat suro mein kar de yeh ailan Himmat hai to roko Aur zurrat hai to baandho Re aaj hatheli pe rakh di hai jaan Khoon me tere mitti Mitti me tera khoon x (2) Upar Allah neeche dharti Beech mein tera junun Re sultan Seene mein tere aag, paani, aandhi hai Mehnat ki dori hauslon se bandhi hai x (2) Hai parbat bhi tu hi Aur tu hi patthar hai Jo chaahe tu woh hi ban jaaye Teri marzi hai Hai ansoo aur pasina Par hai to donon paani Par mod ke rakh de donon hi toofan Chot ho jitni gehri Ya thes jigar mein thehari To jazba utna zehri hai yeh maan Noor-e-sukun neeyat se junun Yeh tujhko pata hai Tujhmein chupa hai Tu usko le, usko le pehchan Tera irada tujhse bhi zyada Usko pata hai jo lapata hai Tu itna le, itna le ab maan Woh dil mein hai tere Tu uski nazron mein Chal had se aage re Hai chaaha jo toone woh paane Chal ban ja re sultan Saat aasman cheere Ab saat samundar peere Chal saat suro mein kar de yeh ailan Khoon me tere mitti Mitti me tera khoon x (2) Upar Allah neeche dharti Beech mein tera junun Re sultan Seene mein tere aag, paani, aandhi hai Mehnat ki dori hauslon se bandhi hai x (2) Saat aasman cheere Ab saat samundar peere Chal saat suro mein kar de yeh ailan Himmat hai to roko Aur zurrat hai to baandho Re aaj hatheli pe rakh di hai jaan"
17,Tuk Tuk,Sultan,"Nooran Sisters, Vishal Dadlani",Vishal-Shekhar,Irshad Kamil, ,"Doori dard, milan hai masti Dunia mujhko dekh ke hassti Ishk mera badnam ho gaya Kar ke teri husan parasati Koyi jogi, koyi kalander Rehta ve apne mein Koyi bhoola huva Sikander Rehta ve apne mein x (2) Ho sajke dikhaayegi Ho hass ke bulaayegi Ho raj ke nachaayegi Tuk tuk, tuk tuk karti chalti Thaari mhaari zindagi Re bole, re bole dola dhol dhadak dhin Dhadak dhin, dhadak dhin Re tuk tuk tuk tuk karti chalti Mithi thaari zindagi Re bole, re bole dola dhol dhadak dhin Dhadak dhin, dhadak dhin, dhadak dhin Apni marzi se banti bigadti Banti bigadti, banti bigadti Dhuan nahin, aag nahin phir bhi hai jalti Oye hoye, oye hoye, oye hoye, oye x (2) It’s a take down You gonna hit the ground hard But life gets you hard and dhobi pachaad What loving fighting ain’t far apart You can love the fight but You can’t fight your heart Apni marzi se banti bigadti, banti bigadti Dhuan nahin, aag nahin phir bhi hai jalti Oye hoye, oye hoye, oye hoye, oye God of the one and the ground start shaking Making sounds that you shouldn’t be making Taking steps out of your comfort zone and you’re fine to fight most your battles alone Ho taare jaisi chanchal hai Resham hai ya malmal hai Ya phir gehri daldal hai Zindagi yaara ra ra ra Ho din din ghat-ti jaati hai Fasal yeh kat-ti jaati hai Nazar se hat-ti jaati hai Zindagi yaara ra ra ra ra Dil samjhe nahin patandar Rehta hai apne mein Bas banta phire dhurandhar Rehta hai apne mein x (2) Ho sajke dikhaayegi Ho hass ke bulaayegi Ho raj ke nachaayegi Tuk tuk, tuk tuk karti chalti Thaari mhaari zindagi Re bole, re bole dola dhol dhadak dhin Dhadak dhin, dhadak dhin Re tuk tuk tuk tuk karti chalti Mithi thaari zindagi Re bole, re bole dola dhol dhadak dhin Dhadak dhin, dhadak dhin, dhadak dhin x (2)"
18,Pagalon Sa Naach,Junooniyat,"Meet Bros, Khushboo Grewal",Meet Bros,Kumaar, ,"Rango ke beech mein romance karenge Arey aaj nahin miss koyi chance karenge Rango ke beech mein romance karenge Aaj nahin miss koyi chance karenge Duniya ki nazron se nazrein mila ke Open mein yaar close dance karenge Bhaang chadaayenge Ghar nahin jaayenge Subah ke baje chaahe panch Chaahe panch, sadhe panch Tu pagalon sa naach Dancing dancing dancing dance x (2) Ho sir pe rakh ke glass Dancing dancing dancing dance Tu pagalon sa naach naach naach naach Tu pagalon sa naach C’mon c’mon c’mon baby dance x (2) Ho sir pe rakh ke glass Move your body and your hands Tu pagalon sa naach naach nach nach Ho nasha chhalke aakhon ki botalon se Do ghoont main aa kheench loon zara Maare jhatke jaise koyi qamar se Dil hai kahan aa jhaank loon wahan Tu fan huva re thumakne pe mere Thumkon ki mere sang speed badha le Subah ke baje chaahe panch Chaahe panch, sadhe panch Tu pagalon sa naach Dancing dancing dancing dance x (2) Ho sir pe rakh ke glass Dancing dancing dancing dance Tu pagalon sa naach naach naach naach Tu pagalon sa naach C’mon c’mon c’mon baby dance x (2) Ho sir pe rakh ke glass Move your body and your hands Tu pagalon sa naach naach nach nach Main aur tu aaj doobein jashan mein Dede jhappiyan full mood se zara Ghalti ka scope bhi bada hai Bachke rahin is dude se zara Ho time huva re ghar jaane ka mere Jana nahin ghar pe maine phone kiya re Subah ke baje chaahe panch Chaahe panch, sadhe panch Tu pagalon sa naach Dancing dancing dancing dance x (2) Ho sir pe rakh ke glass Dancing dancing dancing dance Tu pagalon sa naach naach naach naach Tu pagalon sa naach C’mon c’mon c’mon baby dance x (2) Ho sir pe rakh ke glass Move your body and your hands Tu pagalon sa naach naach nach nach"
19,Jag Ghoomeya,Sultan,Rahat Fateh Ali Khan,Vishal-Shekhar,Irshad Kamil, ,Na woh ankhiyan ruhaani kahin Na woh chehra nuraani kahin Kahin dil waali baatein bhi na Na woh sajri jawani kahi Jag ghoomeya thare jaisa na koyi x (2) Na to hansna rumaani kahin Na to kushbu suhani kahin Na woh rangli adaayein dekhin Na woh pyari si nadaani kahin Jaisi tu hai waisi rehna Jag ghoomeya thare jaisa na koyi x (4) Barishon ke mausmon ki bhigi hariyali tu Sardiyo mein gaalon pe jo Jo aati hai woh laali tu Raaton ka sukun Raaton ka sukun bhi hai Subah ki azan hai Chahaton ki chadaron mein Maine hai sambhali tu Kahin aag jaisi jalti hai Bane barkha ka paani kahin Kabhi man jana chupke se Yoon hi apni chalani kahin Jaisi tu hai waisi rehna Jag ghoomeya thare jaisa na koyi x (2) Apne nasibon mein ya Hausle ki baaton mein Sukhon aur dukhon waali Sari saughaton mein Sang tujhe rakhna hai Sang tujhe rakhna hai Toone sang rehna Meri duniya mein bhi Mere jazbaton mein Teri milti nishaani kahin Jo hai sabko dikhani kahin Tu to janti hai marke bhi Mujhe aati hai nibhani kahin Wohi karna jo hai kehna Jag ghoomeya thare jaisa na koyi x (4)
20,Baby Ko Bass Pasand Hai,-,"Vishal Dadlani, Shalmali Kholgade, Badshah, Ishita",Vishal-Shekhar,Irshad Kamil, ,"Re lak-dak lak-dak jattni ke Haav-bhaav mein teji Uski akhiyan English bolein Meri anpadh akhiyan re Baithe baithe laa gayi dekho Dil ko mere thaggiyan re Haye mere paas se hoke Phir woh DJ se jaa ke boli Bhaiya tu decide kario Ki ab beat chale ya goli Kyunki? Baby ko bass pasand hai x (2) Jab woh naache Mujhko uska face pasand hai Baby ko bass pasand hai Haye mere bhole panchhi Padh na ulti patiyan re Bhool na mere sath khadi hain Meri solah sakhiyaan re Tere jaise bade chawdhary Dekhe hain marjaane Song suna ke English ke jo dale desi dane Kyunki? Baby ko bass pasand hai Haye baby ko bass pasand hai Now chhori wanting dance But chhora want romance So chhora bole DJ se Je ib no taking chance Chhori chhori hit se, fire se Sab ladkon ki desire se Yo chalta phirta fashion show Baby bijli ki nangi wire se Main paagal ho gaya tere peechhe Dil mera teri heal ki neeche Tak tak bajti je dance floor pe Jab tu naache aakhein meeche Aakhein meeche, aakhein meeche Speaker ka volume usko tej pasand hai Baby ko bass pasand hai Baby ko bass pasand hai Re lak-dak lak-dak jattni ke Haav-bhaav mein teji Baby ko bass pasand hai Re lak-dak lak-dak jattni ke Haav-bhaav mein teji Uhh! Baby ko bass pasand hai"
21,440 Volt,Sultan,Mika Singh,Vishal-Shekhar,Irshad Kamil, ,"Haye dil mera jaise koyi Dish antenna thaa Free kabhi koyi channel Chalta hi naa tha Jude naa the wire kahin Signal bhi naa tha Haryana mere liye Argentina tha Dil ko mere hai jaane toone Kaisi di direction Ab nainon ke TV mein hai bas Tera hi reflection Kaun jaane kaise tera mera hai connection? Lag gaye 440 volt chhoone se tere Lag gaye 440 volt chhoone se tere Chhoone se tere, chhoone se tere Chhoone se tere Lag gaye 440 volt chhoone se tere x (2) Sapne jo dale maine searching pe Tere pe hi setting hui Haan setting hui, setting hui, setting hui Duva hai ghoomein phirein hum donon Mujhe yehi waiting hui Haan waiting hui, waiting hui, waiting hui Waiting hui, waiting hui, waiting hui Dekhoon tujhe to hota hoon main Jaane kyu attention Ho bole tu jo thankyou to Main bhi hoon no mention Kaun jaane kaise tera mera hai connection? Lag gaye 440 volt chhoone se tere Lag gaye 440 volt chhoone se tere Chhoone se tere, chhoone se tere Chhoone se tere Lag gaye 440 volt chhoone se tere x (2) Jagoon main TV dekhoon raaton ko Gaane seekhoon tere liye Haan tere liye, tere liye, tere liye Yeh batla kaise kaise aur kya kya? Soche tu bi mere liye Haan mere liye, mere liye, mere liye Mere liye, mere liye, mere liye Ho tu hai ration card mera Toohi mera ration Ho chhori tere husn pe main Khud ko deta bhaashan Kaun jaane kaisa tera mera hai connection? Lag gaye, lag gaye Lag gaye, lag gaye, lag gaye, lag gaye Lag gaye 440 volt chhoone se tere Lag gaye 440 volt chhoone se tere Chhoone se tere, chhoone se tere Chhoone se tere Lag gaye 440 volt chhoone se tere x (2)"
22,Ishqe Di Lat,Junooniyat,"Ankit Tiwari, Tulsi Kumar",Ankit Tiwari,Manoj Muntashir, ,Be-tahasha tu yaad aata hai Jane kyaa hona hai tere mere darmiyan Mujhse hi mujhko tu churataa hai Jane kyaa hona hai tere mere darmiyan Ishqe di lat tadpaawe Dil na lage jab dil lagg jave Ishqe di lat tadpaawe Dil na lage jab dil lagg jave Kyu chaand se hum joden ummeedein Ek dusre se aa roshni len Kyun hum alag yoon lete hain saasein Ek saans mein hi aa donon jee len Aise milein phir na hon juda Ishqe di lat tadpaawe Dil na lage jab dil lagg jave Ishqe di lat tadpaawe Dil na lage jab dil lagg jave
23,Mujhko Barsaat Bana Lo,Junooniyat,Armaan Malik,Jeet Gannguli,Rashmi Virag, ,Mujhko barsaat bana lo Ek lambi raat bana lo Apne jazbat bana lo jana Mujhko alfaz bana lo Dil ki aawaz bana lo Gehra sa raaz bana lo jana Nasha hu main behakne do Mere qatil mujhe jeene ka haq to do Mujhko barsaat bana lo Ek lambi raat bana lo Apne jazbat bana lo jana Tere sang ghuzar jaaye Yeh umar jo baaki hai Bas do nazar aakhon ke Kaahe ki udhasi hai Subah hu main aane do Mere qatil mujhe jeene ka haq to do Mujhko barsaat bana lo Ek lambi raat bana lo Apne jazbat bana lo jana x (2)
