,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
10,Khel Khel Mein,Wazir,Amitabh Bachchan,Advaita,Abhijeet Deshpande, ,"Khel khel mein, khel khel ke Khel khel yeh aa jayega x (3) Haar jeet se, haar jeet ke Jeet harna sikhayga Haal chaal ka behal haal hai Chaal chaal nahin ek sawal hai Ek sawal ke sou jawab hain Sou sawalo ka ek hisab hai Khel khel mein, khel khel ke Khel khel yeh aa jayega Chaal ka na koyi chaal chalan hai Doglapan ek hi niyam hai Anek ek pe ek hi hai bhari Ek anek mein kaisi yaari Ek ek ka ek hota hai Do ek se ek to milta hai Do ek se ek to milta hai Aql nahin ise jee se khelo Jivan bhi jeena aa jayega Khel khel mein, khel khel ke Khel khel yeh aa jayega"
11,Maula Mere Maula,Wazir,Javed Ali,Shantanu Moitra,"Swanand Kirkire, Vidhu Vinod Chopra", ,"Ya Maula, ya Raheem Ya Kareem, ya maula Reh dikha, reh dikha Reh dikha De re noor noor.. Maula mere maula Mere maula mere maula x (2) Reh dikha x (2) Reh dikha x (4) Jee lun ya marr lun, reh dikha Bhatka hai rahi reh dikha Maula mere maula Mere maula mere maula x (2) Reh dikha Aaya hoon darr pe main banke bhikhari Soch samajh ki yeh jholi hai khaali Reh dikha Reh dikha x (4) Ab na sawalo se sata De de jawabo ka pata Maula mere maula Mere Maula mere maula x (2) Reh dikha Tu hai mera yaar teri shan ka hai kya kehna Toone thukraya to main gir ke bikhar jaoonga Maula mere maula Mere maula mere maula x (2) Reh dikha Mere maula maula maula x (2) De re noor noor.. Ya maula, ya Raheem, ya Raheem Ya Kareem, ya Kareem, ya maula Reh dikha x (3) Jee lun ya marr lun, reh dikha Bhatka hai rahi reh dikha Maula mere maula Mere maula mere maula x (2) Reh dikha x (2) Ya maula Maula mere maula Mere maula mere maula Ya maula maula mere maula maula x (4) Mere maula.. Maula mere maula Mere maula mere maula.. Reh dikha Jee lun ya marr lun, reh dikha Bhatka hai rahi reh dikha"
12,Soch Na Sake,Airlift,"Arijit Singh, Tulsi Kumar",Amaal Mallik,Kumaar, ,Tainu itna main pyar karaan Ik pal vich sau baar karaan Tu jaave je mainu chadd ke Maut da intezar karaan Ke tere liye duniya chhod di hai Tujhpe hi saans aake ruke Main tujhko kitna chahta hun Yeh tu kabhi soch na sake Kuchh bhi nahin hai yeh jahan Tu hai to hai ismein zindagi Ab mujhko jaana hai kahan Ke tu hi safar hai aakhri Ke tere bina jeena mumkin nahin Na dena kabhi mujhko tu fasle Main tujhko kitna chaahati hoon Yeh tu kabhi soch na sake Tere liye duniya chhod di hai Tujhpe hi saans aake ruke Main tujhko kitna chahta hun Yeh tu kabhi soch na sake
13,Dugg Duggi Dugg,-,Vishal Bhardwaj,Clinton Cerejo,Shellee, ,"Phurr phurr phurr nayi dagariya Mann mauj gujariya Run jhun payal liya nazaria Mann mauj gujariya Yeh waste raste jhalle shehran Ramte jogi waala kaida Aav bhagat mein muskanein Fursat ki meethi taanen Dayein ka hath pakad ke Bayein se puchh ke Oye oye hoye dugg duggi dugg Oye oye hoye dug dugi dug Oye oye hoye dugg duggi dugg Dugg duggi dugg dugi dug Phir phir phir raha atariya Sur taal sanwaria Sanjh ki bahaan naram dupahariya Sur taal sanwaria Parwaz yeh, aaghaz yeh hai alahda Raunak se ho rahi khushbu paida Hath bhaath jag log diwane Baatein bharein udaaein Raahein de koyi fakhar se Koyi khud se raha joojh re Oye oye hoye dugg duggi dugg Oye oye hoye dug dugi dug Oye oye hoye dugg duggi dugg Dugg duggi dugg dugi dug Behte huye paani se, is duniya faani se Hai rishta khara, rang chokha hara Aur jo rawani yeh dhun ki purani hai Yeh naata anokha haan kubaku ke maane Dehleez langh ke jaane Dayein ka hath pakad ke Bayein se poochh ke Oye oye hoye dugg duggi dugg Oye oye hoye dug dugi dug Oye oye hoye dugg duggi dugg Dugg duggi dugg dugi dug"
14,Tu Mere Paas,Wazir,Ankit Tiwari,Ankit Tiwari,Manoj Muntashir, ,Main hoon aadha mujhmein Baaki aadha hai tu Dil mein kam hai dhadkan Yaara zyada hai tu Bin sune sun loonga main Bin kahe tu kehna Tu mere mere paas to hai na Tu mere mere paas to hai na
15,Tere Bin,Wazir,"Sonu Nigam, Shreya Ghoshal",Vidhu Vinod Chopra,Shantanu Moitra, ,"Tere bin, tere bin Tere bin, tere bin Tera bina marna nahin Jeena nahin tere bin Tere bin, tere bin Baanwre piya laage na jia Dekho mera man jalta diya Jalta diya bujhe na piya Bujhe na piya jalta diya Tera bina marna nahin Jeena nahin tere bin Tere bin, tere bin Ga ma ma sa ni sa ni sa ni Ga ma ma ma ma ma ma ga re"
16,Daayre,Dilwale,Arijit Singh,Pritam Chakraborty,Amitabh Bhattacharya, ,"Dillon ki mohabbat ko bandhe kyu haaye re Dillon ki mohabbat ko bandhe kyu haaye re Daayre, daayre, dayre, daayre Hain kyu fasle darmiya leke aaye re Hain kyu fasle darmiya leke aaye re Daayre, daayre, dayre, daayre Kaanch ke woh khwaab naazuk the hamare sare Choone se hi tootne lage Mannaton mein umar bhar ka saath jinka maanga Humsafar woh chootne lage Na marna munasib, jia bhi na jaaye re Na marna munasib, jia bhi na jaaye re Haaye re daayre, dayre, daayre "
17,Premika,Dilwale,"Benny Dayal, Kanika Kapoor",Pritam Chakraborty,Amitabh Bhattacharya, ,"Hothon pe naam hai thehra tera Neendo mein rehta hai pehra tera Jabse bani re bani tu meri Premika aa aa, premika aa aa Premika aa aa, premika.. Soraj nikalta hai tere liye Chanda mein dikhta hai chehara tera Jabse bani re bani tu meri Premika aa aa, premika aa aa Premika aa aa, premika aa aa Premika aa aa, premika aa aa, premika Main teri premika Dil ke sheher ka musaafir hai tu Neende churaane me mahir hai tu Dikhta hai thoda tapori magar Jeans jacket mein shaayar hai tu Lover boy macho man You are my baabu, I’m your jaan Lover boy macho man You are my baabu, I’m your jaan Dil ke sheher ka musaafir hai tu Neende churaane me mahir hai tu Dikhta hai thoda tapori magar Jeans jacket mein shaayar hai tu Bas tere haan karne ki deir hai Tayyaar hai sar pe sehara mera Jabse bani jaan-e-man tu meri Premika aa aa, premika aa aa Premika aa aa, premika Soraj nikalta hai tere liye Chanda mein dikhta hai chehara tera Haan bani re bani main teri Premika aa aa, premika aa aa Premika aa aa, premika aa aa Premika aa aa, premika aa aa, premika Main teri premika"
18,Tukur Tukur,Dilwale,Arijit Singh,Pritam Chakraborty,Amitabh Bhattacharya, ,"Tukur tukur, tukur tukur Tukur tukur dekh taka tak x (4) Dil mein haan hai hothon pe na Dil mein haan hai hothon pe na Bhare bazar mein dil tod gayi zalima Tukur tukur, tukur tukur Tukur tukur dekh taka tak x (2) Aashikon ki jaan le gayi Aashikon ki jaan le gayi Kaahe rumal magar chod gayi zalima Tukur tukur, tukur tukur Tukur tukur, dekh taka tak x (2) Chaahne waale tere jitne hazar sanam Badhke humse nahin honge dildar sanam Yeh zamana hai bewafa, to Yeh zamana hai bewafa Mile mushkil se wafaadar koyi baalma Tukur tukur, tukur tukur Tukur tukur, dekh taka tak x (4) Ayi yei yei ya Vasco da Gama Ayi yei yei ya pagdi pyjama x (2) Hosh mein hi sahi Magar gustakhiyan hon zara Aa tujhe choom lu Bhale badnamiyan hon zara x (2) Husn hai bekabu agar Husn hai bekabu agar Kaahe jazbat ko kaabu mein rakhe baalma Tukur tukur, tukur tukur Tukur tukur, dekh taka tak x (4) Ayi yei yei ya Vasco da Gama Ayi yei yei ya pagdi pyjama x (2) Pyar kya cheez hai Peecha chode na woh marz hai Umra bhar sar se jo Miyan utre na woh karz hai Is-se bach ke rehna zara Is-se bach ke rehna zara Nazar-andaz na kar mashwara yeh kaam ka Tukur tukur, tukur tukur Tukur tukur dekh taka tak x (2)"
19,Janam Janam,Dilwale,"Arijit Singh, Antara Mitra",Pritam Chakraborty,Amitabh Bhattacharya, ,Janam janam janam sath chalna yoon hi Qasam tumhein qasam aake milna yahin Ek jaan hai bhale do badan hon juda Meri hoke hamesha hi rehna Kabhi na kehna alvida Meri subah ho tumhi Aur tumhi shaam ho Tum dard ho tumhi aaram ho Meri duaao se aati hai bas yeh sada Meri hoke hamesha hi rehna Kabhi na kehna alvida Meri hoke hamesha hi rehna Kabhi na kehna alvida Janam Janam sull song coming soon here..
