,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
20,Manma Emotion Jaage,Dilwale,"Amit Mishra, Anushka Manchanda, Antara Mitra",Pritam Chakraborty,Amitabh Bhattacharya, ,"Goriya re, chcoriya re Goriya re, chcoriya re Tera jalwa dekha to dil hua Milkha Badi tezz bhaage re Manma emotion jaage re Manma emotion jaage Manma emotion jaage re Manma emotion jaage Dil jagah se hil gaya re Dil jagah se hil gaya re Tukdon mein nikla re dil ka chhilka Toone phenka kha ke re Manma emotion jaage re Manma emotion jaage Manma emotion jaage re Manma emotion jaage Haiya mera desi typical saiyaan Pipal ki thandi chhaiyan mein Naache ta ta thaiya thaiya daiya daiya Mera desi typical saiyaan Pipal ki thandi chhaiyan mein Naache ta ta thaiya thaiya daiya daiya O mere saiyaan, saiyaan saiyaan Dil ki phassi hai naiya majjdhar mein Sun le vistar mein Ho lut gaya pyar mein Yeh to bata de mere jazbat ka Itna kam rate kyun hai tere bazar mein Karke vaada kyun na aayi Karke vaada kyun na aayi Hua dil ka jagrata Halka fulka sa dhokha kha ke Manma emotion jaage re Manma emotion jaage Manma emotion jaage re Manma emotion jaage"
21,Fitoori,Bajirao Mastani,Various Artists,Sanjay Leela Bhansali,Siddharth-Garima, ,Ho leke aayi hu main ishq za nazrana Janoon palkon se may ko chalkana Main hu fitoori Donon aankhon se bandhoongi taana-baana Tera dil yeh bharega jurmana Main hu fitoori Du main chahat rahat thodi si Pal do pal sohbat thodi si Phisla du neeyat thodi si Haye leke aayi hu main ishq za nazrana Janoon palkon se may ko chalkana Main hu fitoori Haan leke aayi hu main ishq za nazrana Janoon palkon se may ko chalkana Main hu fitoori Mere irade hain aadhe se vaade hain Mera har rang nirala Jo bhi mila de nazar is nazar se Bana dil phekne waala x (2) Du main aadat rangat thodi si Chamka du qismat thodi si Phisla du neeyat thodi si aa.. Leke aayi hu main ishq za nazrana Janoon palkon se may ko chalkana Main hu fitoori Donon aankhon se bandhoongi taana-baana Tera dil yeh bharega jurmana Main hu fitoori Mera bebaak saya Hai yeh bebak saya Mera bebaak saya Hai ye bebaak saya Ho ho daji bana ke ba sunlo ji Daji ba karna kya tumko bhi yeh bebaak ji
22,Malhari,Bajirao Mastani,Vishal Dadlani,Sanjay Leela Bhansali,Siddharth-Garima, ,"Bajne de dhadak dhadak Dhol tashe dhadak dhadak Bhandara jidak jidak malhari Khadak tadak bhadak jhali Chatak matak watak jhali Dushman ki dekho jo vaat lauli x (3) Dhire dhire badhi chali, badhi chali Hai jo thi chingaari, chhoti chingaari Bhari bhari bhari bhari bhari bhari Hai man ki almaari, haan ji almaari Huyi satrangi, jhali satrangi Huyi satrangi thi jo yeh raat kaali Aye khadak tadak bhadak jhali Chatak matak watak jhali Dushman ki dekho jo vaat lauli Chak chak chaka chaka chaka chaka chaundh Apni basti re jhali basti re Rapa rapa rapa rapa rapa rapa rapp Sare masti mein, dube masti mein Badi atrangi huyi atrangi Badi atrangi apni yeh jeet jhali Aye kadak tadak bhadak jhali Chatak matak watak jhali Dushman ki dekho jo vaat lauli Bajne de dhadak dhadak Dhol tashe dhadak dhadak Bhandara jidak jidak malhari Khadak tadak bhadak jhali Chatak matak watak jhali Dushman ki dekho jo vaat lauli x (2)"
23,Aaj Ibaadat,Bajirao Mastani,"Javed Bashir, Shadaab Faridi, Altamash Faridi",Sanjay Leela Bhansali,Siddharth-Garima, ,"Om Mangalam Bhagwaan Vishnu Mangalam garuda dhwaja jay jay Om Mangalam pundreekaksham Manglaay tano Hari Aaj ibaadat Aaj ibaadat ru-ba-roo ho gai Ru-ba-roo ho gai Jo mangi thi, jo mangi thi Us duaa se guftagoo ho gai Mere maula, mere maula Mere maula, mere maula tera shukriya Aaj ibadat ru-ba-roo ho gai Ru-ba-roo ho gai Dard ke anderon se Aa gaye ujaalon me Ishq ke charago ka Noor hai khayalo me Dard ke andhero se Aa gaye ujaalo me Ishq ke charaagon ka Nur hai khayalon me Nazro se teri chaaq Dil pe rafu ho gai Dil pe rafu ho gai Mere maula, mere maula Mere maula, mere maula tera shukria Aaj ibaadat ru-ba-roo ho gai Om Mangalam Bhagwaan Vishnu (maula) Mangalam garuda dhwaja jay jay (maula) Om Mangalam pundreekaksham Manglaay tano Hari Maula.."
24,Ab Tohe Jane Na Doongi,Bajirao Mastani,"Payal Dev, Shreyas Puranik",Sanjay Leela Bhansali,Siddharth-Garima, ,"Ab tohe jane na doongi Ab tohe jaane na doongi Sautan si yeh rain hai aai Sautan si yeh rain hai aai Ab tohe jane na doongi Prem barsao sang so jao Jaane na doongi Ab tohe jane na doongi Kuchh bhi na boloon aisa kar jao Hothon pe mere hoth dhar jao Kuchh bhi na boloon aisa kar jao Hothon pe mere hoth dhar jao Sukh waali rut jane na doongi Prem barsao sang so jao Jaane na doongi Ab tohe jane na doongi Ek hai mannat, ek hai duaa Donon ne ishq ki rooh ko hai chuaa Dayein se padh ya bayein se padh Farsh se arsh tak ishq hai likha Na jane na, jane na Na jane na doongi Ab tohe jane na doongi Ab tohe jane na doongi"
25,Mohe Rang Do Laal,Bajirao Mastani,"Shreya Ghoshal, Pandit Birju Maharaj",Sanjay Leela Bhansali,Siddharth-Garima, ,"Mohe rang do laal Mohe rang do laal Nand ke lal laal Chedo nahin bas rang do lal Mohe rang do laal Dekhoon dekhoon tujhko main hoke nihal Dekhoon dekhoon tujhko main hoke nihal Choo lo kora mora kanch sa tan Nain bhar kya rahe nihar Mohe rang do laal Nand ke lal laal Chedo nahin bas rang do lal Mohe rang do laal Marodi kalayi mori Marodi kalayi mori Haan kalayi mori Haan kalayi marodi, kalayi mori Choodi chatkayi itraayi To chori se garwa lagayi Hari yeh chunaria Jo jhatke se chhini Hari yeh chunaria Jo jhatke se chhini Main to rangi hari hari ke rang Laaj se gulabi gaal Mohe rang do laal Nand ke lal laal Chedo nahin bas rang do lal Mohe rang do laal Mohe rang do laal"
26,Aayat,Bajirao Mastani,"Arijit Singh, Mujtaba Aziz Naza, Shadab, Altamash Faridi, Farhan Sabri",Sanjay Leela Bhansali,Siddharth-Garima, ,Tujhe yaad kar liya hai Tujhe yaad kar liya hai Aayat ki tarah Qayam tu ho gayi hai Qayam tu ho gayi hai Riwaayat ki tarah Tujhe yaad kar liya hai Marne talak rahegi Marne talak rahegi Tu aadat ki tarah Tujhe yaad kar liya hai Ho tujhe yaad kar liya hai Aayat ki tarah Yeh teri aur meri Mohabbat hayaat hai Har lamha ismein jeena Mukaddar ki baat hai Kehti hai ishq duniya jise Kehti hai ishq duniya jise Meri jaan-e-man Is ek lafz mein hi chupi kaaynat hai Mere dil ki rahaton ka tu Zariya ban gayi hai Teri ishq ki mere dil mein Kai Eid man gayi hain Tera zikra ho raha hai Tera zikra ho raha hai Ibadat ki tarah Tujhe yaad kar liya hai Ho tujhe yaad kar liya hai Aayat ki tarah
27,Love To Hate You,Hate Story 3,Shivranjani Singh,Amaal Mallik,Shabbir Ahmed, ,"Yeh kaise ho gaya x (4) Jab jab tujhe sochti hu main Tab tab bas roti hu main Zalim ko samjhi alim Love to hate you baby x (2) O love to hate you baby x (3) Teri maa ki, teri maa ki Toone batein kyun suni Jo main kehti rehti thi Charnon mein reh loongi x (2) Kyun khamosh rehti thi main Kyun na cheekh ke kehti thi main Toone kitna sataya mujhko Love to hate you baby O love to hate you baby x (2) Jazbati, jazbati Teri baaton se huyi Ghalti thi yeh meri Kisi ki na suni x (2) Tu to tha husn pujaari Ab tujhko padega bhaari Ab yeh sa sa sexy naari Sab pe padegi bhaari O love to hate you baby x (2)"
28,Gerua,Dilwale,"Arijit Singh, Antara Mitra",Pritam Chakraborty,Amitabh Bhattacharya, ,"Dhoop se nikal ke Chhaon se phisal ke Hum mile jahan par Lamha thamm gaya Aasman pighal ke Shishe mein dhal ke Jamm gaya to tera Chehra ban gaya Duniya bhula ke tumse mila hu Nikli hai dil se yeh dua Rang de tu mohe gerua Ranjhe ki dil se hai dua Rang de tu mohe gerua Haan nikli hai dil se yeh dua Ho rang de tu mohe gerua Ho tumse shuru, tumpe fanna Hai sufiyana yeh dastan Main karwan maznil ho tum Jaata jahan ko har rasta Tumse juda jo dil zara sambhal ke Dard ka woh sara kohra chann gaya Duniya bhula ke tumse mila hu Nikli hai dil se yeh dua Rang de tu mohe gerua Ho Ranjhe ki dil se hai dua Rang de tu mohe gerua Ho veeran tha, dil ka jahan Jis din se tu daakhil huva Ek jism se hai ek jaan ka Darza mujhe hasil huva Haan pheeke hain saari naate jahan ki Tere sath rishta gehra ban gaya Duniya bhula ke tumse mila hu Nikli hai dil se yeh dua Rang de tu mohe gerua Ranjhe ki dil se hai dua Rang de tu mohe gerua Haan nikli hai dil se yeh dua Ho Rang de tu mohe gerua"
29,Pinga,Bajirao Mastani,Shreya Ghoshal,Sanjay Leela Bhansali,Siddharth-Garima, ,"Inga ga pori, pinga ga pori Pinga ga pori, pinga Maala pingyaani maala Bholawali raat Ghalawali pori pinga Latpat-latpat kamar damini adhar raghini ho Hey latpat-latpat kamar damini adhar ragini Nirdhar aayi kaise saji dhaji Dekho mere pia ki saanwri jia se baanwri Mere angna mein dekho aaj khila hai chaand Ke baje dhun jham jham jhamaak jha To naache man chham chham chhamaak chha Inga ga pori, pinga ga pori Pinga ga pori, pinga Inga ga pori, pinga ga pori Pinga ga pori, pinga Mere jia mein utaari Toone paini pia ki katari Haan tu jaane yeh duniyadari Main to hu bas mohabbat ki maari Jo peer meri hai, so peer teri Aur donon ki maang lage suni aadhi aadhi na Ke baje dhun jham jham jhamaak jha To naache man chham chham chhamaak chha Ke baje dhun jham jham jhamaak jha To naache man chham chham chhamaak chha Inga ga pori, pinga ga pori Pinga ga pori, pinga x (4)"
